id,name,aliases,visual_keywords,visual_description,recognition_hint
entity_CP_CC_011,景德镇窑蓝锦地开窗儿童耍乐图瓶,蓝锦地开窗儿童耍乐图瓶|儿童耍乐瓶|蓝锦瓶,瓶|瓷器,瓷质瓶，以蓝锦地为地，开窗装饰，饰儿童耍乐纹，做工精细考究，形态端整大方。,蓝锦釉色，儿童耍乐题材，可据此与同类器物区分。
entity_CP_CC_012,景德镇窑蓝地开窗花鸟纹观音瓶,蓝地开窗花鸟纹观音瓶|花鸟纹观音瓶|蓝瓶|花鸟瓶,花鸟|观音|瓶,瓷质瓶，以蓝地为地，开窗装饰，为花鸟纹观音形象，做工精细考究，形态端整大方。,蓝釉色，可据此与同类器物区分。
entity_CP_CC_013,景德镇窑粉彩三酸图梅瓶,粉彩三酸图梅瓶|三酸梅瓶|粉彩梅瓶|梅梅瓶,粉彩|梅|瓶,瓷质梅瓶，以粉彩绘饰，饰三酸、梅纹，纹样层次分明。,粉彩色彩丰富，梅瓶造型，可据此与同类器物区分。
entity_CP_CC_014,景德镇窑粉彩羲之爱鹅图瓶,粉彩羲之爱鹅图瓶|羲之爱鹅瓶|粉彩瓶|鹅瓶,粉彩|鹅|瓶,瓷质瓶，以粉彩绘饰，饰羲之爱鹅纹，做工精细考究，形态端整大方。,粉彩色彩丰富，羲之爱鹅题材，可据此与同类器物区分。
entity_CP_CC_015,景德镇窑珐琅地粉彩山水纹瓶,珐琅地粉彩山水纹瓶|珐琅地山水瓶|粉彩瓶|山水瓶,粉彩|珐琅|山水|瓶,瓷质瓶，以粉彩绘饰，饰珐琅地山水纹，做工精细考究，形态端整大方。,粉彩色彩丰富，可据此与同类器物区分。
entity_CP_CC_016,景德镇窑青花五彩忍冬纹茶盏,青花五彩忍冬纹茶盏|忍冬纹茶盏|青花五彩盏,五彩|青花|盏,瓷质盏，以青花五彩绘饰，饰忍冬纹茶纹，做工精细考究，形态端整大方。,青花五彩与五彩双色，可据此与同类器物区分。
entity_CP_CC_017,景德镇窑粉彩柳蝉纹梅瓶,粉彩柳蝉纹梅瓶|柳蝉梅瓶|粉彩梅瓶|蝉梅瓶,粉彩|蝉|梅|瓶,瓷质梅瓶，以粉彩绘饰，饰柳蝉、梅纹，纹样层次分明。,粉彩色彩丰富，梅瓶造型，可据此与同类器物区分。
entity_CP_CC_018,景德镇窑珊瑚红地描金开窗花卉纹水注,珊瑚红地描金开窗花卉纹水注|花卉水注|珊瑚红水注,珊瑚红|描金|花卉,瓷质水注，以珊瑚红地为地，开窗装饰，饰花卉纹，兼施描金等色。,珊瑚红与描金双色，可据此与同类器物区分。
entity_CP_CC_019,景德镇窑珊瑚红地描金蝉纹梅瓶,珊瑚红地描金蝉纹梅瓶|蝉梅瓶|珊瑚红梅瓶,珊瑚红|描金|蝉|梅|瓶,瓷质梅瓶，以珊瑚红地为地，饰蝉、梅纹，兼施描金等色。,珊瑚红与描金双色，梅瓶造型，可据此与同类器物区分。
entity_CP_CC_020,景德镇窑粉彩菊纹双螭耳瓶,粉彩菊纹双螭耳瓶|菊纹双螭耳瓶|粉彩瓶|菊瓶,粉彩|菊|瓶,瓷质瓶，以粉彩绘饰，饰菊纹双螭耳纹，做工精细考究，形态端整大方。,粉彩色彩丰富，可据此与同类器物区分。
entity_CP_CC_021,景德镇窑珊瑚红地五蝠拱寿纹大盘,珊瑚红地五蝠拱寿纹大盘|五蝠拱寿纹大盘|珊瑚红盘|蝠盘,珊瑚红|蝠|盘,瓷质盘，以珊瑚红地为地，饰五蝠拱寿纹大纹，做工精细考究，形态端整大方。,珊瑚红釉色独特，五蝠拱寿题材。
entity_CP_CC_022,景德镇窑粉彩万花纹葫芦瓶,粉彩万花纹葫芦瓶|万花葫芦瓶|粉彩葫芦瓶|葫芦葫芦瓶,粉彩|葫芦|瓶,瓷质葫芦瓶，以粉彩绘饰，饰万花、葫芦纹，纹样层次分明。,粉彩色彩丰富，葫芦瓶造型，可据此与同类器物区分。
entity_CP_CC_023,景德镇窑粉彩牛郎织女图梅瓶,粉彩牛郎织女图梅瓶|牛郎织女梅瓶|粉彩梅瓶|牛梅瓶,粉彩|牛|梅|瓶,瓷质梅瓶，以粉彩绘饰，饰牛郎织女、梅纹，纹样层次分明。,粉彩色彩丰富，梅瓶造型，可据此与同类器物区分。
entity_CP_CC_024,景德镇窑粉彩花鸟纹花盆,粉彩花鸟纹花盆|花鸟花盆|粉彩花盆,粉彩|花鸟|盆,瓷质花盆，以粉彩绘饰，饰花鸟纹，做工精细考究，形态端整大方。,粉彩色彩丰富，可据此与同类器物区分。
entity_CP_CC_025,景德镇窑黄地云蝠纹扁葫芦瓶,黄地云蝠纹扁葫芦瓶|云蝠纹扁葫芦瓶|黄葫芦瓶|葫芦葫芦瓶,葫芦|蝠|瓶,瓷质葫芦瓶，以黄地为地，饰云蝠纹扁、葫芦纹，纹样层次分明。,黄釉色，葫芦瓶造型，可据此与同类器物区分。
entity_CP_CC_026,景德镇窑锦地粉彩儿童耍乐图罐,锦地粉彩儿童耍乐图罐|儿童耍乐罐|粉彩罐,粉彩|罐,瓷质罐，以粉彩绘饰，饰儿童耍乐纹，兼施锦等色，视觉特征鲜明独特。,粉彩与锦双色，儿童耍乐题材，可据此与同类器物区分。
entity_CP_CC_027,景德镇窑万花地开窗山水纹双象耳瓶,万花地开窗山水纹双象耳瓶|万花地山水纹瓶|山水瓶,山水|象|瓶,瓷质瓶，开窗装饰，饰万花地山水纹双象耳纹，做工精细考究，形态端整大方。,万花地山水纹纹饰，可据此与同类器物区分。
entity_CP_CC_028,景德镇窑墨彩山水纹笔筒,墨彩山水纹笔筒|山水笔筒|墨彩笔筒,墨彩|山水|笔筒,瓷质笔筒，以墨彩绘饰，饰山水纹，做工精细考究，形态端整大方。,墨彩釉色，可据此与同类器物区分。
entity_CP_CC_029,景德镇窑锦边粉彩人物纹双兽头耳天球瓶,锦边粉彩人物纹双兽头耳天球瓶|锦边人物纹双天球瓶|粉彩天球瓶|人物天球瓶,粉彩|人物|瓶,瓷质天球瓶，以粉彩绘饰，饰锦边人物纹双兽头耳纹，做工精细考究，形态端整大方。,粉彩色彩丰富，天球瓶造型，可据此与同类器物区分。
entity_CP_CC_030,景德镇窑珊瑚红地缠枝莲开窗写字盖罐,珊瑚红地缠枝莲开窗写字盖罐|缠枝莲写字盖罐|珊瑚红罐|缠枝罐,珊瑚红|缠枝|莲|罐,瓷质罐，以珊瑚红地为地，开窗装饰，饰缠枝莲写字盖纹。,珊瑚红釉色独特，可据此与同类器物区分。
entity_CP_CC_031,景德镇窑珊瑚红地描金开窗粉彩花鸟纹碟,珊瑚红地描金开窗粉彩花鸟纹碟|花鸟碟|珊瑚红碟,珊瑚红|粉彩|花鸟|碟,瓷质碟，以珊瑚红地为地，开窗装饰，饰花鸟纹，兼施粉彩等色。,珊瑚红与粉彩双色，可据此与同类器物区分。
entity_CP_CC_032,景德镇窑珊瑚红地珐琅彩花卉纹碗,珊瑚红地珐琅彩花卉纹碗|花卉碗|珊瑚红碗,珊瑚红|珐琅彩|花卉|碗,瓷质碗，以珊瑚红地为地，饰花卉纹，兼施珐琅彩等色。,珊瑚红与珐琅彩双色，可据此与同类器物区分。
entity_CP_CC_033,景德镇窑黄地开窗粉彩花鸟纹瓶,黄地开窗粉彩花鸟纹瓶|花鸟瓶|粉彩瓶,粉彩|花鸟|瓶,瓷质瓶，以粉彩绘饰，开窗装饰，饰花鸟纹，兼施黄等色。,粉彩与黄双色，可据此与同类器物区分。
entity_CP_CC_034,景德镇窑万花地开窗墨彩山水纹双耳瓶,万花地开窗墨彩山水纹双耳瓶|万花地山水双耳瓶|墨彩双耳瓶|山水双耳瓶,墨彩|山水|双耳瓶,瓷质双耳瓶，以墨彩绘饰，开窗装饰，饰万花地山水纹。,墨彩釉色，可据此与同类器物区分。
entity_CP_CC_035,景德镇窑粉彩花卉纹宝字瓶,粉彩花卉纹宝字瓶|花卉纹宝字瓶|粉彩瓶|花卉瓶,粉彩|花卉|瓶,瓷质瓶，以粉彩绘饰，饰花卉纹宝字纹，做工精细考究，形态端整大方。,粉彩色彩丰富，可据此与同类器物区分。
entity_CP_CC_036,景德镇窑五彩花鸟纹琮瓶,五彩花鸟纹琮瓶|花鸟纹琮瓶|五彩瓶|花鸟瓶,五彩|花鸟|瓶,瓷质瓶，以五彩绘饰，饰花鸟纹琮纹，做工精细考究，形态端整大方。,五彩色彩丰富，可据此与同类器物区分。
entity_CP_CC_037,景德镇窑豆青地云蝠开窗诗文葫芦瓶,豆青地云蝠开窗诗文葫芦瓶|豆青地云蝠诗葫芦瓶|葫芦葫芦瓶,葫芦|蝠|瓶,瓷质葫芦瓶，开窗装饰，饰豆青地云蝠诗文、葫芦纹，纹样层次分明。,葫芦瓶造型，可据此与同类器物区分。
entity_CP_CC_038,景德镇窑珊瑚红地开窗花卉纹花盆,珊瑚红地开窗花卉纹花盆|花卉花盆|珊瑚红花盆,珊瑚红|花卉|盆,瓷质花盆，以珊瑚红地为地，开窗装饰，饰花卉纹，做工精细考究，形态端整大方。,珊瑚红釉色独特，可据此与同类器物区分。
entity_CP_CC_039,景德镇窑缠枝花地开窗鸡纹双耳瓶,缠枝花地开窗鸡纹双耳瓶|缠枝花地鸡双耳瓶|缠枝双耳瓶,缠枝|鸡|双耳瓶,瓷质双耳瓶，开窗装饰，饰缠枝花地鸡纹，做工精细考究，形态端整大方。,缠枝花地鸡纹饰，可据此与同类器物区分。
entity_CP_CC_040,景德镇窑乌金地团龙凤纹胆瓶,乌金地团龙凤纹胆瓶|团龙凤胆瓶|乌金胆瓶|龙凤胆瓶,龙凤|胆瓶,瓷质胆瓶，以乌金地为地，饰团龙凤纹，做工精细考究，形态端整大方。,乌金釉色，胆瓶造型，团龙凤题材。
entity_CP_CC_041,景德镇窑粉彩公孙图瓶,粉彩公孙图瓶|公孙瓶|粉彩瓶,粉彩|瓶,瓷质瓶，以粉彩绘饰，饰公孙纹，做工精细考究，形态端整大方。,粉彩色彩丰富，公孙图题材，可据此与同类器物区分。
entity_CP_CC_042,景德镇窑粉彩麻姑祝寿图瓶,粉彩麻姑祝寿图瓶|麻姑祝寿瓶|粉彩瓶,粉彩|瓶,瓷质瓶，以粉彩绘饰，为麻姑祝寿形象，做工精细考究，形态端整大方。,粉彩色彩丰富，麻姑祝寿题材，可据此与同类器物区分。
entity_CP_CC_043,景德镇窑珊瑚红地描金山水纹瓶,珊瑚红地描金山水纹瓶|山水瓶|珊瑚红瓶,珊瑚红|描金|山水|瓶,瓷质瓶，以珊瑚红地为地，饰山水纹，兼施描金等色，视觉特征鲜明独特。,珊瑚红与描金双色，可据此与同类器物区分。
entity_CP_CC_044,景德镇窑珊瑚红地五彩花卉纹觚形瓶,珊瑚红地五彩花卉纹觚形瓶|花卉纹觚形瓶|珊瑚红瓶|花卉瓶,珊瑚红|五彩|花卉|瓶,瓷质瓶，以珊瑚红地为地，饰花卉纹觚形纹，兼施五彩等色。,珊瑚红与五彩双色，可据此与同类器物区分。
entity_CP_CC_054,景德镇窑粉彩儿童耍乐图瓶,粉彩儿童耍乐图瓶|儿童耍乐瓶|粉彩瓶,粉彩|瓶,瓷质瓶，以粉彩绘饰，饰儿童耍乐纹，做工精细考究，形态端整大方。,粉彩色彩丰富，儿童耍乐题材，可据此与同类器物区分。
entity_CP_CC_046,景德镇窑绿龙纹盘,绿龙纹盘|绿龙盘|龙盘,龙|盘,瓷质盘，饰绿龙纹，做工精细考究，形态端整大方，视觉特征鲜明独特。,绿龙纹饰，可据此与同类器物区分。
entity_CP_CC_047,景德镇窑粉彩人物纹瓶,粉彩人物纹瓶|人物瓶|粉彩瓶,粉彩|人物|瓶,瓷质瓶，以粉彩绘饰，饰人物纹，做工精细考究，形态端整大方。,粉彩色彩丰富，可据此与同类器物区分。
entity_CP_CC_048,景德镇窑粉彩牡丹纹觚形瓶,粉彩牡丹纹觚形瓶|牡丹纹觚形瓶|粉彩瓶|牡丹瓶,粉彩|牡丹|瓶,瓷质瓶，以粉彩绘饰，饰牡丹纹觚形纹，做工精细考究，形态端整大方。,粉彩色彩丰富，可据此与同类器物区分。
entity_CP_CC_049,景德镇窑五彩松鹿纹双耳尊,五彩松鹿纹双耳尊|松鹿纹双耳尊|五彩尊|鹿尊,五彩|鹿|松|尊,瓷质尊，以五彩绘饰，饰松鹿纹双耳纹，做工精细考究，形态端整大方。,五彩色彩丰富，可据此与同类器物区分。
entity_CP_CC_050,景德镇窑墨彩山水纹天球瓶,墨彩山水纹天球瓶|山水天球瓶|墨彩天球瓶,墨彩|山水|瓶,瓷质天球瓶，以墨彩绘饰，饰山水纹，做工精细考究，形态端整大方。,墨彩釉色，天球瓶造型，可据此与同类器物区分。
entity_CP_CC_051,景德镇窑胭脂红地开窗墨彩山水纹灯笼瓶,胭脂红地开窗墨彩山水纹灯笼瓶|山水灯笼瓶|胭脂红灯笼瓶,墨彩|山水|瓶,瓷质灯笼瓶，以胭脂红地为地，开窗装饰，饰山水纹，兼施墨彩等色。,胭脂红与墨彩双色，灯笼瓶造型。
entity_CP_CC_052,景德镇窑粉彩二乔图莲口胆瓶,粉彩二乔图莲口胆瓶|二乔图莲口胆瓶|粉彩胆瓶|莲胆瓶,粉彩|莲|胆瓶,瓷质胆瓶，以粉彩绘饰，饰二乔图莲口纹，做工精细考究，形态端整大方。,粉彩色彩丰富，胆瓶造型，可据此与同类器物区分。
entity_CP_CC_053,景德镇窑珊瑚红描金牡丹纹瓶,珊瑚红描金牡丹纹瓶|牡丹瓶|珊瑚红瓶,珊瑚红|描金|牡丹|瓶,瓷质瓶，施珊瑚红釉，饰牡丹纹，兼施描金等色，视觉特征鲜明独特。,珊瑚红与描金双色，可据此与同类器物区分。
entity_CP_CC_055,明竹雕狮子卧像摆件,竹雕狮子卧像摆件|狮摆件,竹雕|狮|摆件,瓷质摆件，饰竹雕狮子卧像纹，做工精细考究，形态端整大方。,竹雕狮子卧像纹饰，可据此与同类器物区分。
entity_CP_CC_056,清咸丰粉彩八仙祝寿图蝠桃耳扁方瓶,粉彩八仙祝寿图蝠桃耳扁方瓶|八仙祝寿图蝠方瓶|粉彩方瓶|八仙方瓶,粉彩|八仙|蝠|瓶,瓷质方瓶，以粉彩绘饰，为八仙祝寿图蝠桃耳扁形象，做工精细考究，形态端整大方。,粉彩色彩丰富，八仙题材，可据此与同类器物区分。
entity_CP_CC_057,清石湾窑绿釉鸭,绿釉鸭,绿釉|鸭,瓷质器物，通体施绿釉，饰鸭纹，做工精细考究，形态端整大方。,绿釉色，可据此与同类器物区分。
entity_CP_CC_058,清乾隆石湾窑宝蓝釉绶带鸟,宝蓝釉绶带鸟,蓝釉|鸟,瓷质器物，通体施蓝釉，饰宝绶带鸟纹，做工精细考究，形态端整大方。,蓝釉色，可据此与同类器物区分。
entity_CP_CC_059,清乾隆炉钧釉灯笼瓶,炉钧釉灯笼瓶,瓶|瓷器,瓷质灯笼瓶，饰炉钧釉纹，做工精细考究，形态端整大方。,灯笼瓶造型，可据此与同类器物区分。
entity_CP_CC_060,清光绪“高州府瓷业学堂制“款青花菊白头翁图瓶,“高州府瓷业学堂制“款青花菊白头翁图瓶|“高州府瓷业瓶|青花瓶|菊瓶,青花|菊|瓶,瓷质瓶，以青花绘饰，饰“高州府瓷业学堂制“款菊白头翁纹。,青花蓝白相映，可据此与同类器物区分。
entity_CP_CC_061,明早期龙泉窑刻花开光“清香美酒”大罐,刻花开光“清香美酒”大罐|“清香美酒”罐,罐|瓷器,瓷质罐，饰“清香美酒”大纹，开光技法精细，视觉特征鲜明独特。,“清香美酒”纹饰，可据此与同类器物区分。
entity_CP_CC_062,明永乐龙泉窑刻荷莲花纹拓沿大盘,永乐龙泉窑刻荷莲花纹拓沿大盘|永乐龙泉窑刻盘|莲花盘,莲花|盘,瓷质盘，饰永乐龙泉窑刻荷莲花纹拓沿大纹，做工精细考究，形态端整大方。,永乐龙泉窑刻纹饰，可据此与同类器物区分。
entity_CP_CC_063,明石湾窑祖堂居款褐黄釉双狮耳鼓钉三足炉,祖堂居款褐黄釉双狮耳鼓钉三足炉|祖堂居款褐双狮耳鼓钉三足炉|黄双狮耳鼓钉三足炉|狮双狮耳鼓钉三足炉,黄釉|狮|炉,瓷质双狮耳鼓钉三足炉，通体施黄釉，饰祖堂居款褐、狮纹。,黄釉色，鼓钉三足炉造型，可据此与同类器物区分。
entity_CP_CC_064,明石湾窑可松制款翠毛釉筒炉,可松制款翠毛釉筒炉|可松制款筒炉|翠毛炉|松炉,松|炉,瓷质炉，通体施翠毛釉，饰可松制款筒纹，做工精细考究，形态端整大方。,翠毛釉色独特，可据此与同类器物区分。
entity_CP_CC_065,明崇祯青花八仙图笔筒,崇祯青花八仙图笔筒|崇祯八仙笔筒|青花笔筒|八仙笔筒,青花|八仙|笔筒,瓷质笔筒，以青花绘饰，为崇祯八仙形象，做工精细考究，形态端整大方。,青花蓝白相映，八仙题材，可据此与同类器物区分。
entity_CP_CC_066,民国粉彩山水图长方盆,粉彩山水图长方盆|山水图长方盆|粉彩盆|山水盆,粉彩|山水|盆,瓷质盆，以粉彩绘饰，饰山水图长方纹，做工精细考究，形态端整大方。,粉彩色彩丰富，可据此与同类器物区分。
entity_CP_CC_067,清石湾窑翠毛釉桂鱼瓶,翠毛釉桂鱼瓶|桂鱼瓶|翠毛瓶|鱼瓶,鱼|瓶,瓷质瓶，通体施翠毛釉，饰桂鱼纹，做工精细考究，形态端整大方。,翠毛釉色独特，可据此与同类器物区分。
entity_CP_CC_068,民国粉彩柳蝉纹梅瓶,粉彩柳蝉纹梅瓶|柳蝉梅瓶|粉彩梅瓶|蝉梅瓶,粉彩|蝉|梅|瓶,瓷质梅瓶，以粉彩绘饰，饰柳蝉、梅纹，纹样层次分明。,粉彩色彩丰富，梅瓶造型，可据此与同类器物区分。
entity_CP_CC_069,民国珊瑚红五彩花卉觚形瓶,珊瑚红五彩花卉觚形瓶|花卉觚形瓶|珊瑚红瓶|花卉瓶,珊瑚红|五彩|花卉|瓶,瓷质瓶，施珊瑚红釉，饰花卉觚形纹，兼施五彩等色，视觉特征鲜明独特。,珊瑚红与五彩双色，可据此与同类器物区分。
entity_CP_CC_070,民国粉彩蓝地蓝地缠枝花开窗彩牡丹纹双环耳瓷瓶,粉彩蓝地蓝地缠枝花开窗彩牡丹纹双环耳瓷瓶|蓝地缠枝花彩瓶|粉彩瓶|牡丹瓶,粉彩|牡丹|缠枝|瓶,瓷质瓶，以粉彩绘饰，开窗装饰，饰蓝地缠枝花彩牡丹纹双环耳瓷纹。,粉彩与蓝双色，可据此与同类器物区分。
entity_CP_CC_071,清康熙景德镇窑珊瑚红地五彩九秋花卉纹瓷碗,珊瑚红地五彩九秋花卉纹瓷碗|九秋花卉纹瓷碗|珊瑚红碗|花卉碗,珊瑚红|五彩|花卉|碗,瓷质碗，以珊瑚红地为地，饰九秋花卉纹瓷纹，兼施五彩等色。,珊瑚红与五彩双色，可据此与同类器物区分。
entity_CP_CC_072,清珊瑚红描金龙凤纹瓶,珊瑚红描金龙凤纹瓶|龙凤瓶|珊瑚红瓶,珊瑚红|描金|龙凤|瓶,瓷质瓶，施珊瑚红釉，饰龙凤纹，兼施描金等色，视觉特征鲜明独特。,珊瑚红与描金双色，龙凤题材，可据此与同类器物区分。
entity_CP_CC_073,民国堆蓝边粉彩菊纹双螭耳瓷瓶,堆蓝边粉彩菊纹双螭耳瓷瓶|边菊纹双螭耳瓶|粉彩瓶|菊瓶,粉彩|堆蓝|菊|瓶,瓷质瓶，以粉彩绘饰，饰边菊纹双螭耳瓷纹，兼施堆蓝等色。,粉彩与堆蓝双色，可据此与同类器物区分。
entity_CP_CC_074,民国白地锦边五彩儿童玩乐图瓷罐,白地锦边五彩儿童玩乐图瓷罐|锦边儿童玩乐罐|五彩罐,五彩|罐|瓷器,瓷质罐，以五彩绘饰，饰锦边儿童玩乐图瓷纹，兼施白等色。,五彩与白双色，可据此与同类器物区分。
entity_CP_CC_075,民国粉彩花鸟纹瓷琮式瓶,粉彩花鸟纹瓷琮式瓶|花鸟纹瓷琮式瓶|粉彩琮式瓶|花鸟琮式瓶,粉彩|花鸟|瓶,瓷质琮式瓶，以粉彩绘饰，饰花鸟纹瓷纹，做工精细考究，形态端整大方。,粉彩色彩丰富，琮式瓶造型，可据此与同类器物区分。
entity_CP_CC_076,民国粉彩三酸图瓷梅瓶,粉彩三酸图瓷梅瓶|三酸图瓷梅瓶|粉彩梅瓶|梅梅瓶,粉彩|梅|瓶,瓷质梅瓶，以粉彩绘饰，饰三酸图瓷、梅纹，纹样层次分明。,粉彩色彩丰富，梅瓶造型，可据此与同类器物区分。
entity_CP_CC_077,民国堆蓝团龙纹胆瓶,堆蓝团龙纹胆瓶|团龙胆瓶|堆蓝胆瓶,堆蓝|团龙|胆瓶,瓷质胆瓶，施堆蓝釉，饰团龙纹，做工精细考究，形态端整大方。,堆蓝釉色，胆瓶造型，可据此与同类器物区分。
entity_CP_CZCX_001,《三羊开泰图》挂屏,三羊开泰图|挂屏|三羊开泰,羊|挂屏,丝质挂屏，绘《三羊开泰图》图景，画面见《三羊开泰图》等形象。,《三羊开泰图》主题丝质挂屏，画面内容独特。
entity_CP_CZCX_002,《岁朝清供》挂屏,岁朝清供|挂屏,挂屏|刺绣,丝质挂屏，绘《岁朝清供》图景，画面见《岁朝清供》等形象。,《岁朝清供》主题丝质挂屏，画面内容独特。
entity_CP_CZCX_003,《钉金九龙图》圆屏,钉金九龙图|圆屏|钉金九龙,龙|圆屏,丝质圆屏，绘《钉金九龙图》图景，画面见《钉金九龙图》等形象。,《钉金九龙图》主题丝质圆屏，画面内容独特。
entity_CP_CZCX_004,《双狮图》挂屏,双狮图|挂屏,狮|挂屏,丝质挂屏，绘《双狮图》图景，画面见《双狮图》等形象。,《双狮图》主题丝质挂屏，画面内容独特。
entity_CP_CZCX_005,《潮汕情》挂屏,潮汕情|挂屏,挂屏|刺绣,丝质挂屏，绘《潮汕情》图景，画面见《潮汕情》等形象。,《潮汕情》主题丝质挂屏，画面内容独特。
entity_CP_CZCX_006,潮州通锦绣《双清图》,潮州《双清图图,通锦绣|刺绣,丝质图，饰潮州《双清图》纹，刺绣技法精细，视觉特征鲜明独特。,潮州《双清图纹饰，可据此与同类器物区分。
entity_CP_CZCX_007,潮州绣《红棉双鹅》,,鹅|刺绣,丝质器物，刺绣技法，饰潮州绣《红棉双鹅》纹，做工精细考究，形态端整大方。,潮州绣《红棉纹饰，可据此与同类器物区分。
entity_CP_CZCX_008,金线绣九龙座屏,线绣九龙座屏|龙座屏,龙|座屏,丝质座屏，饰线绣九龙纹，做工精细考究，形态端整大方。,线绣九龙纹饰，可据此与同类器物区分。
entity_CP_CZCX_009,潮州钉金绣《九龙图》圆屏,潮州《九龙图圆屏|钉金绣圆屏|龙圆屏,钉金绣|龙|圆屏,丝质圆屏，施钉金绣釉，饰潮州《九龙图》纹，做工精细考究，形态端整大方。,钉金绣釉色，可据此与同类器物区分。
entity_CP_QI_001,《新八宝》花瓶,新八宝|花瓶,八宝|瓶|漆器,漆质瓶，绘《新八宝》图景，画面见《新八宝》花等形象。,《新八宝》主题漆质瓶，画面内容独特。
entity_CP_QI_002,《潮州八景》挂屏,潮州八景|挂屏,挂屏|漆器,漆质挂屏，绘《潮州八景》图景，画面见《潮州八景》等形象。,《潮州八景》主题漆质挂屏，画面内容独特。
entity_CP_QI_003,《汕头市韩堤路气象台》挂屏,汕头市韩堤路气象台|挂屏|汕头市韩,象|挂屏|漆器,漆质挂屏，绘《汕头市韩堤路气象台》图景，画面见《汕头市韩堤路气象台》等形象。,《汕头市韩堤路气象台》主题漆质挂屏，画面内容独特。
entity_CP_QI_004,《李白退番》挂屏,李白退番|挂屏,挂屏|漆器,漆质挂屏，绘《李白退番》图景，画面见《李白退番》等形象。,《李白退番》主题漆质挂屏，画面内容独特。
entity_CP_QI_005,《山水图》屏风,山水图|屏风,山水|屏风|漆器,漆质屏风，绘《山水图》图景，画面见《山水图》等形象。,《山水图》主题漆质屏风，画面内容独特。
entity_CP_QI_006,《花木兰》挂屏,花木兰|挂屏,木兰|挂屏|漆器,漆质挂屏，绘《花木兰》图景，画面见《花木兰》等形象。,《花木兰》主题漆质挂屏，画面内容独特。
