id,name,description,material,tags,hall,aliases,visual_keywords,visual_description,recognition_hint
entity_CP_NEW_004,1981年复原维修合同,1981年复原维修时与部分施工单位签订的合同，包括广东民间工艺馆（甲方）与市建三公司（乙方）等签订的施工协议书。工程范围为陈氏书院轴线建筑的九大厅堂及东西两廊，主要包括天面木结构维修、油色、各座屏门维修、地坪翻新（铺阶砖）、天面翻修等项目。,null,展品,null,陈氏书院1981年复原维修施工合同,纸质文件|合同|协议书|文字,纸质合同文件，记载1981年陈氏书院复原维修工程施工协议内容。,1981年复原维修施工合同文本
entity_CP_NEW_005,1966-1975年陈家祠受损情况记录,1966年9月，广州新华印刷厂使用了陈家祠的主体建筑作为印刷车间。在改建厂房和生产的过程中，对建筑结构、布局和风貌有较大的破坏：瓦筒严重脱灰变形、连廊灰塑塌、首进门厅正立面墙体受损、祖堂神龛台阶被毁、聚贤堂北侧屏门遭破坏、聚贤堂脊饰被台风吹毁、在墙体上开窗、厢房的大阶砖地面受损、聚贤堂的大阶砖地面受损等。,null,展品,null,陈家祠文革时期受损记录,纸质文件|记录|文字,纸质记录文件，记载1966至1975年间陈家祠建筑受损情况。,1966至1975年陈家祠受损情况记录文本
entity_CP_NEW_006,《陈氏书院81年维修预算》及《解放后第二次重修方案初稿》,1981年3月，复馆筹备小组按照《陈氏书院复原维修方案》开始进行复原维修工程。为确保复原建筑风貌，保证文物安全，聘请了区藤、黄洋、俞毓贤、梁环、冯兆祺等七位有丰富经验的老技工，组成维修复原技术小组，负责对陈家祠建筑复原工程多个项目进行试验性维修，并指挥现场施工，监督工程技术的质量和进度。,null,展品,null,陈氏书院维修预算与重修方案,纸质文件|预算书|方案|文字,纸质文件，包含陈氏书院1981年维修预算及解放后第二次重修方案初稿。,1981年维修预算+第二次重修方案初稿合订文件
entity_CP_NEW_007,陈家祠1981年修复工程施工单位一览,陈家祠1981年修复工程的主要施工单位包括：广州市建三公司服务部（瓦面、梁架、油漆）、花县二公司203施工队（瓦面、地面大阶砖）、高要二建公司第10施工队（花岗石板）、潮州市工艺研究所（木雕复原设计）、潮州木雕厂（木雕复原制作）、广州化学研究所（粘合加固）、石湾建筑陶瓷厂（陶塑瓦脊）、四会白土砖厂（大阶砖和平瓦）、广州雕塑室（正门六幅大砖雕）、广州市联光木器厂（油漆）、佛山市省建六公司（灰塑）、广州市南方美术装修社（装修杂项）、广州市排水公司机修厂（排水系统）、广州市搭棚公司（搭棚）、广州市园林公司（绿化）、兴龙水电装修社（水电）。主要工艺师：邵耀波、邵成村、邵成梯、布辉（灰塑）、陈舜羌（木雕）、曾肇权（砖雕）、陈本宗（砖雕）、陈略（门神彩绘）。,null,展品,null,陈家祠1981年修复施工单位名录,纸质文件|名录|文字,纸质文件，罗列陈家祠1981年修复工程的各施工单位及主要工艺师。,1981年修复工程施工单位一览文本
entity_CP_NEW_009,陈氏书院防雷工程设计图,陈氏书院防雷工程图，由广东雄粤防雷工程有限公司设计，2005年7月出图。2005年6月5日凌晨3时许，陈家祠聚贤堂陶塑脊饰东端遭雷击。6月28日，广州市防雷设施检测所荔湾分所提出《防雷整改意见》，指出：发现陈氏书院中间存在一个不受防雷保护的空间，而6月5日凌晨的接闪点正落在不受防雷保护的区间之中。,null,展品,null,陈家祠防雷工程设计图纸,工程图纸|设计图|线条|标注,工程设计图纸，绘有陈氏书院防雷工程设计方案及标注。,2005年陈氏书院防雷工程设计图纸
entity_CP_NEW_010,陈家祠防雷网络完善工程,2006年，为完善陈家祠防雷网络，在中进东西厅屋脊两侧各竖立一支6米高的不锈钢管独立避雷针，并安装两幅地网。至此，陈家祠建成了完整的防雷网络，有效保护了建筑安全。包括敷设地极网及钢筋混凝土基座、吊装避雷针、完善后的陈家祠防雷网络（2002年布设避雷针、2006年布设避雷针）。,null,展品,null,陈家祠防雷网络完善工程资料,工程照片|避雷针|不锈钢管|地网|基座,工程资料，包含不锈钢避雷针、地极网及钢筋混凝土基座等防雷设施的照片或图示。,六米高不锈钢管独立避雷针+地网+防雷网络工程资料
entity_CP_ZX_001,织绣类文物修复流程示意,织绣类文物修复流程示意：1.背衬加固 2.整 3.洁 4.嵌补 5.刺绣 6.修复流苏。该流程体现了织绣类文物保护修复的标准工艺。,null,展品,null,织绣文物修复工艺流程图,流程图|示意图|步骤|文字标注,流程示意图，展示织绣类文物修复的六个步骤：背衬加固、整、洁、嵌补、刺绣、修复流苏。,六步织绣修复流程示意图
entity_CP_NEW_013,室内型光照紫外线温湿度合一监测终端,室内型光照、紫外线、温湿度合一监测终端，长11.5cm宽4.5cm高7cm。放置于展柜或文物库房内，测量监测终端附近的温湿度、光照强度、紫外线强度数据，并将数据通过无线网络传输至监测系统。配套设备：室内型大气温湿度监测终端（长11.5cm宽4.5cm高7cm）、复合硅胶调湿剂（长33cm宽11cm高2cm）。,null,展品,null,文物环境监测终端|温湿度光照紫外线监测仪,电子设备|长方体|小型|监测终端|传感器,小型长方体电子监测终端，尺寸约11.5乘4.5乘7厘米，用于监测温湿度、光照及紫外线强度。,11.5乘4.5乘7厘米小型长方体+合一环境监测终端
entity_CP_NEW_015,20世纪初的陈家祠正立面（历史照片）,陈家祠建成之初正立面的风貌，前广场的水塘及塘中的残荷清晰可见，为将来水塘复原提供了依据。,null,展品,null,陈家祠建成初期正立面老照片,黑白历史照片|建筑正立面|前广场|水塘|残荷,黑白历史照片，呈现陈家祠建成之初的正立面风貌，前广场水塘及塘中残荷清晰可见。,陈家祠正立面+前广场水塘残荷+20世纪初黑白照片
entity_CP_NEW_016,20世纪初的陈家祠正立面及旗杆（历史照片）,陈家祠建成之初，前广场东西两侧立有两对旗杆，旗杆下是旗杆夹石及其基座。作为依据，我馆于2010年对旗杆进行了复原。,null,展品,null,陈家祠正立面旗杆老照片,黑白历史照片|建筑正立面|旗杆|旗杆夹石|基座,黑白历史照片，呈现陈家祠正立面及前广场东西两侧两对旗杆、旗杆夹石与基座。,陈家祠正立面+东西两侧两对旗杆+20世纪初黑白照片
entity_CP_NEW_017,1900年的陈家祠连廊（立体照片）,1900年的陈家祠连廊历史原貌，展现了首进庭院连廊上方灰塑的历史原貌。,null,展品,null,1900年陈家祠连廊立体老照片,立体照片|黑白|连廊|灰塑|庭院,1900年黑白立体照片，呈现陈家祠首进庭院连廊及上方灰塑的历史原貌。,1900年+陈家祠首进庭院连廊灰塑+立体照片
entity_CP_NEW_018,1902年的陈家祠连廊（立体照片）,1902年的陈家祠连廊历史原貌，展现了首进庭院连廊上方灰塑的历史原貌。,null,展品,null,1902年陈家祠连廊立体老照片,立体照片|黑白|连廊|灰塑|庭院,1902年黑白立体照片，呈现陈家祠首进庭院连廊及上方灰塑的历史原貌。,1902年+陈家祠首进庭院连廊灰塑+立体照片
entity_CP_NEW_019,1910年的陈家祠连廊（立体照片）,1910年的陈家祠连廊历史原貌。2015年，购得三张1900-1910年陈家祠立体照片，展现了首进庭院连廊上方灰塑的历史原貌，为今后连廊灰塑的复原提供了依据。,null,展品,null,1910年陈家祠连廊立体老照片,立体照片|黑白|连廊|灰塑|庭院,1910年黑白立体照片，呈现陈家祠首进庭院连廊及上方灰塑的历史原貌。,1910年+陈家祠首进庭院连廊灰塑+立体照片
entity_CP_NEW_020,1909年的陈家祠聚贤堂（历史照片）,1909年聚贤堂的陈设情况，作为依据，我馆于2022年对聚贤堂的神案、五供、供桌以及部分家具陈设进行了复原。,null,展品,null,1909年陈家祠聚贤堂陈设老照片,黑白历史照片|厅堂内部|陈设|神案|五供|供桌|家具,1909年黑白历史照片，呈现陈家祠聚贤堂内部神案、五供、供桌及家具陈设情况。,1909年+聚贤堂内部陈设+黑白历史照片
entity_CP_NEW_021,20世纪初后进祖堂（历史照片）,20世纪初祖堂正的神龛陈设情况。作为依据，2007-2022年先后对神台阶、神案、供桌和五供进行了复原。,null,展品,null,陈家祠后进祖堂神龛老照片,黑白历史照片|祖堂内部|神龛|神案|供桌|五供,20世纪初黑白历史照片，呈现陈家祠后进祖堂神龛、神案、供桌及五供陈设情况。,20世纪初+后进祖堂神龛陈设+黑白历史照片
entity_CP_NEW_022,九个主要厅堂的三维扫描点云模型与监测平台,九个主要厅堂的三维扫描点云模型、监测平台界面、监测设备布置总图。2017年《北斗卫星导航精准定位技术在历史建筑监测应用指南》出台，为陈家祠建筑的监测提供了新的技术路径。第二阶段共布设监测设备52个，涵盖了建筑的内部和周边。,null,展品,null,陈家祠厅堂三维点云模型与监测平台,三维点云模型|数字模型|监测平台界面|设备布置图|计算机屏幕,包含九个主要厅堂三维扫描点云模型、监测平台界面截图及监测设备布置总图的数字资料。,三维点云模型+监测平台界面+九厅堂设备布置图
entity_CP_NEW_023,北斗卫星定位系统接收器,北斗卫星定位系统接收器。利用北斗精准位置服务结合布设在历史建筑和文物建筑附近的多个监测站，可以在历史建筑和文物建筑周围部署一张形变监测网，在监测站结合无目标激光测距设备，通过每个站点的多个变形监测数据，对建筑进行形变监测。,null,展品,null,北斗卫星定位接收器|北斗监测接收机,电子设备|卫星接收器|天线|监测设备,北斗卫星定位系统接收器电子设备，用于建筑形变监测。,北斗卫星定位系统接收器设备
entity_CP_NEW_024,前檐梁架保养维护施工图,前檐梁架保养维护施工图。委托设计单位编制梁架保养维护施工图，针对前檐梁架制定维护解决方法。,null,展品,null,陈家祠前檐梁架维护施工图,工程图纸|施工图|梁架|线条|标注,工程施工图纸，绘有陈家祠前檐梁架保养维护的设计方案及标注。,前檐梁架保养维护工程施工图
entity_CP_NEW_025,计算机软件著作权登记证书（陈家祠文物建筑预防性保护智能监测平台）,中华人民共和国国家版权局计算机软件著作权登记证书。软件名称：陈家祠文物建筑预防性保护智能监测平台。著作权人：广东民间工艺博物馆。开发完成日期：2023年04月10日。首次发表日期：未发表。权利取得方式：原始取得。权利范围：全部权利。登记号：2023SR1320070。2023年10月27日。,null,展品,null,陈家祠监测平台软件著作权登记证书,证书|纸质文件|红色印章|文字|国家版权局,国家版权局颁发的计算机软件著作权登记证书，纸质文件，载有软件名称、著作权人、登记号等信息及红色印章。,国家版权局计算机软件著作权登记证书+陈家祠监测平台
entity_CP_NEW_026,陈家祠文物建筑预防性保护监测月报,陈家祠文物建筑预防性保护监测月报，由北京北建大科技有限公司出具的监测平台月报，记录了文物建筑预防性保护智能监测平台的运行情况。,null,展品,null,陈家祠文物建筑监测月报,纸质文件|月报|表格|数据|文字,纸质月报文件，记录陈家祠文物建筑预防性保护智能监测平台的运行情况及数据。,陈家祠文物建筑预防性保护监测月报文本
entity_CP_NEW_027,白蚁监测装置,白蚁监测装置，长30cm宽25cm高15cm。装置安装在地面以下，内芯木材能够引诱装置周围的白蚁啃食（右侧），通过装置内的信息采集模块，利用无线传输的方式实时向网络监测站传送信息并报警。信息盒、白蚁啃食过的内芯木材（玻璃珠下滑触发采集模块报警）、正常内芯木材、内有玻璃珠。布设在庭院绿化周边的监测装置。系统发现白蚁报警时，会进行现场核实和灭杀。,null,展品,null,地下白蚁监测诱杀装置,长方体装置|三十乘二十五乘十五厘米|木材内芯|玻璃珠|信息采集模块|地下埋设,长方体地下白蚁监测装置，尺寸约三十乘二十五乘十五厘米，内有引诱白蚁啃食的木材内芯及玻璃珠触发的信息采集模块，可无线传输报警。,三十乘二十五乘十五厘米长方体+木材内芯+玻璃珠触发+地下白蚁监测装置
entity_CP_GC_033,绘『同庆年宵』图瓷荷口瓶,1984年，广彩技术人员对电炉作进一步改进，取得『应用微机控制彩瓷烤花炉』科研立项，经过半年多的研究试验，建成炉膛内高1.85米，宽、深各0.8米，容积1.18立方米的『单板机控制烤花炉』，从而能够自如地控制烘烧温度。此花瓶即为当时烧制的作品之一。作品采用台湾生产的瓷胎，运用广彩『长行人物』的绘画技法，由两人合作完成。从设计到完成历时一年时间，是广彩有史以来烧制成功的最高产品。作者：李善发、张兆棠。,null,展品,null,广彩同庆年宵图荷口瓶|广彩最高产品,广彩|荷口瓶|瓷胎|人物纹饰|长行人物技法|彩绘,广彩荷口瓶，台湾瓷胎，瓶身以广彩长行人物技法绘同庆年宵图，彩绘装饰。,荷口造型+广彩长行人物纹饰+同庆年宵图
entity_CP_SWT_255,石湾陶·《哺》,作者喜爱并擅长以体量巨大的鹰为主题进行创作。为提升作品的表现力、作者常往动物园写生，观察鹰的形态和姿势，捕捉其在不同情况下的表情与反应。这件作品既表现了鹰的气势与力量，又表现了其柔情一面，突出其刚柔并济的博大胸怀，寄托了作者的精神与思想。2005年，《哺》曾获中国（上海）国际艺术节第七届中国工艺美术大师精品博览会暨中国工艺美术优秀作品评选的金奖。这件作品是获奖作的同题再创作。杨锐华，1955年生，广东佛山人。中国工艺美术大师，高级工艺美术师。他师承钟汝荣、罗树添、杨永雄等，以画入陶，改良釉彩、追求表现手法和艺术形式的多样和创新，在大体量上探索创作空间，作品色彩丰满且富有表现力，造型结合了写实和写意的特点，具有雄伟意境。,null,展品,null,石湾陶鹰塑哺|杨锐华陶塑鹰,石湾陶|陶塑|鹰|大体量|釉彩|写实写意结合,石湾陶塑作品，以大体量鹰为主题，造型结合写实与写意，表现鹰的气势力量与柔情，釉彩丰满。,大体量鹰主题石湾陶塑+哺
entity_CP_FXC_003,枫溪·春色瓷雕大花篮,花篮由陶瓷艺术大师王龙才设计制作。以枫溪瓷艺的捏塑、浮雕、通雕、线刻等手法及釉上、釉下、色土等工艺制作而成。花篮三层镂通，呈六角宫灯式，每面装饰丰富，既雍容典雅又剔透玲珑。花篮中汇集了牡丹、水仙、玫瑰、梅花、桃花、菊花、海棠、剑兰、百合等五十余种、五百多朵瓷花，紫嫣红，群芳簇拥，美不胜收。王龙才，枫溪瓷艺大师。,null,展品,null,枫溪瓷雕大花篮|王龙才瓷花篮,枫溪瓷|瓷雕|花篮|三层镂通|六角宫灯式|瓷花|牡丹|水仙|玫瑰|梅花|捏塑|浮雕|通雕|线刻,枫溪瓷雕大花篮，三层镂通呈六角宫灯式，以捏塑、浮雕、通雕、线刻等手法制作，篮中汇集五十余种五百多朵各色瓷花，剔透玲珑。,三层镂通六角宫灯式+五百多朵瓷花+枫溪瓷雕大花篮
entity_CP_FXC_009,枫溪瓷《十五贯·访鼠》摆件,1956年，昆剧《十五贯》公演，轰动全国，创造了『一出戏救活一个剧种』的奇迹。林鸿禧希望用瓷塑表现这出脍炙人口的戏剧。由于当时潮汕地区尚未上演此戏，林鸿禧费尽波折找来一本描绘此题材的旧连环画，并请熟悉剧情的老工人复述全剧故事。在此基础上，他决定选塑『访鼠』这一个深刻揭示人物内心世界的场面。他经常随剧团下乡，一边观摩、一边制作，把握戏剧人物的特点，运用瓷塑夸张和线条优美的传统技法，创作出《十五贯·访鼠》。新中国成立10周年之际，该作品赴京展览并获全国美术瓷塑一等奖，成为林鸿禧一鸣惊人的代表作。林鸿禧善于捕捉人物瞬间的神情，把握和再现其内心世界。这件作品中，两个人物动静相衬，一个料事如神，稳坐钓鱼台；一个疑惧万状，如中之鉴，形成鲜明对比，生动传神，仿佛再现舞台上的情景。林鸿禧，揭阳市人，1947年到枫溪陶瓷作坊当学徒，自此开始了他的陶瓷艺术生涯。他从艺数十载，先后在广东枫溪陶瓷研究所、潮安美术瓷厂的瓷塑作品。1986年被省政府授予『广东省工艺美术家』称号，1989年获高级工艺美术师职称，是潮州枫溪瓷塑艺术的一代大师。,null,展品,null,枫溪瓷塑十五贯访鼠摆件|林鸿禧瓷塑,枫溪瓷|瓷塑|人物摆件|两个人物|坐姿|对比姿态|夸张造型|优美线条,枫溪瓷塑人物摆件，表现昆剧十五贯访鼠场面，两个人物一静一动形成鲜明对比，造型夸张，线条优美。,两个人物动静对比+十五贯访鼠戏剧场面+枫溪瓷塑摆件
entity_CP_NEW_029,《建祠刊刻公所告示》,陈家祠，匾额题『陈氏书院』，由曾任翰林院编修等职的东莞陈伯陶等48位陈姓绅士倡议建立，以『汉代太邱太祖』为始祖，凡广东各县陈氏宗族只需缴纳一定数量的金钱，均可加入陈家祠，并可以将祖先牌位放入陈家祠神中供奉，宗族内的子弟到广州备考或办理各种事务时可入住陈家祠。,null,展品,null,陈氏书院建祠告示,纸质文件|告示|文字,清代纸质告示文件，记载陈氏书院建祠相关事宜。,建祠刊刻公所告示清代文本
entity_CP_NEW_030,《广东省城全图·陈氏书院地图》,绘于光绪十四年（1888），此图是为方便省内各地陈姓族人前往陈家祠而绘制。（现藏广东省中山图书馆）地图中标注的去往陈家祠5条路线：1、『由轮船渡头起，过沙面入澳口、南岸、荔枝湾直泊书院。』2、『自沙面起，入西炮台、柳波浦、彭围、观音桥登岸，入五福里，入连元通津直到书院。』3、『自西门出积金巷、聚龙里、黄家祠到书院。』4、『由轮船渡头起，入兴隆街、十八甫、十六甫、十五甫、观音桥、五福大街、连元通津到书院。』5、『由贡院起，出文明门、万寿宫、仰忠街、高第街、大新街，由状元坊出太平门、打铜街、第八甫、第六甫，入锦云里、青紫坊、芦排巷、龙津桥，入连元通津、奎光字院、黄家祠到陈氏书院。』,null,展品,null,光绪十四年广东省城全图陈氏书院地图,古地图|纸质|线条|标注|路线|城市布局,清光绪十四年绘制的古地图，标注广东省城布局及去往陈氏书院的五条路线。,1888年广东省城全图+五条去陈家祠路线+古地图
entity_CP_NEW_033,《陈氏书院契据登记簿》与地契图,《陈氏书院契据登记簿》抄录了清光绪十四年至十八年（1888-1892）期间，以陈颖川堂和陈世昌堂的名义购买广州西门口外的田地、鱼塘、山岗、房屋等十六张契据。（现藏广东民间工艺博物馆）。此界碑在广州南沙区万顷沙镇一带发现，证明清末陈家祠在万顷沙置有田产并已完税。1899年的陈家祠建成之初，正门前有水塘一口。建成之初的陈家祠东侧，可见『颖川通津』字样的门楼（现陈家祠东侧入口处），当时的陈氏族人由此进入陈家祠。,null,展品,null,陈氏书院契据登记簿与地契,纸质簿册|契据|登记簿|地契图|界碑|文字,纸质簿册及地契图，抄录清光绪年间陈氏书院购买田产房屋的十六张契据，附界碑资料。,光绪十四年至十八年十六张契据登记簿+地契图
entity_CP_NEW_040,广州西关大屋（模型）,西关大屋是清末民初广州西关地区富商所建的大型住宅，多为两层青砖石脚屋。该模型展示了西关大屋的典型布局——正门（脚门、趟栊、大门三件套）、中堂、偏厅、书房、起居等空间序列，反映了岭南建筑因地制宜、融合中西的独特风格。,null,展品,null,西关大屋建筑模型|广州传统民居模型,建筑模型|两层|青砖石脚|脚门|趟栊|大门三件套|中堂|偏厅|书房|岭南建筑,广州西关大屋建筑模型，两层青砖石脚屋，展示正门脚门趟栊大门三件套、中堂、偏厅、书房、起居等典型空间布局。,两层青砖石脚+脚门趟栊大门三件套+西关大屋布局模型
entity_CP_NEW_041,偏厅款客,偏厅是款待日常宾客或密友的地方。偏厅内摆放着长桥台，上有座屏、工艺品、油灯等饰品，与一侧的垯栏椅和公座椅对称放置，使整个偏厅显得高贵雅致，令人感受到随意和舒适。,null,展品,null,西关大屋偏厅陈设场景,场景复原|偏厅|长桥台|座屏|工艺品|油灯|垯栏椅|公座椅|对称布局,偏厅陈设场景复原，长桥台上摆放座屏、工艺品、油灯，一侧垯栏椅与公座椅对称放置，整体高贵雅致。,长桥台+座屏油灯+垯栏椅公座椅对称+偏厅款客场景
entity_CP_NEW_042,饭厅,饭厅是家庭用餐的地方，也可以用来招待到访的客人。饭厅中间放置一张螺钿圆台，右侧放有两张餐后休息的椅子，左侧放有一张罗汉床。罗汉床出现于明代，是一种三面设围子的床，最初因为是僧人常用而得名，故又称弥勒榻。清代中后期以后，罗汉床成为南方较流行的家具，旧广州的不少富有人家都置有罗汉床，或设于厅堂，或安于密室，作为主人休憩，与密友倾谈、抽烟、品茶之用。,null,展品,null,西关大屋饭厅陈设场景,场景复原|饭厅|螺钿圆台|椅子|罗汉床|三面围子|家具陈设,饭厅陈设场景复原，中间置螺钿圆台，右侧两张餐后休息椅，左侧一张三面设围子的罗汉床。,螺钿圆台+右侧餐椅+左侧三面围子罗汉床+饭厅场景
entity_CP_NEW_043,寝室闲居,寝室是夫妇休息之所。按照广州及珠江三角洲地区的风俗，媳妇从娘家带来的陪嫁品，一般都放在寝室中。陪嫁品的多少，决定了媳妇在家庭中地位的高低。陪嫁品包括首饰箱、衣柜、洗面柜、梳妆台、樟木枕等必需品一应俱全。按照风俗习惯，房中所有镜子都不面对大床。,null,展品,null,西关大屋寝室陈设场景,场景复原|寝室|首饰箱|衣柜|洗面柜|梳妆台|樟木枕|大床|镜子|陪嫁品,寝室陈设场景复原，摆放首饰箱、衣柜、洗面柜、梳妆台、樟木枕等陪嫁家具，镜子均不面对大床。,梳妆台+樟木枕+陪嫁品齐全+镜子不面对大床+寝室场景
