id,name,description,craft,location,aliases,visual_keywords,visual_description,recognition_hint
entity_JZ_HS_008,金玉满堂,由数尾金鱼构图。,灰塑,首进廊门廊内（OCR 原文"德表廊门廊内"）,灰塑金玉满堂,灰塑|金玉满堂|金鱼|动物,由数尾金鱼构图。,重点识别金鱼、动物等可见特征。
entity_JZ_HS_009,福禄寿,图中居中着朝服者为福星，天官打扮；左边抱娃娃者为禄星，作员外郎打扮；银须老翁为寿星，又称南极仙翁。,灰塑,首进中路南面,灰塑福禄寿,灰塑|福禄寿|人物,图中居中着朝服者为福星，天官打扮；,重点结合“福禄寿”题材与灰塑表现形式进行识别。
entity_JZ_HS_010,狮子图（祈子嗣）,以雌雄狮子同伴幼狮为图案。,灰塑,首进东路南面、首进西路南面、首进中路西侧北面、后进中路北面、后东连廊东面,祈子嗣|狮子图|狮子|灰塑狮子图,灰塑|祈子嗣|狮子图|狮子|雄狮|动物,以雌雄狮子同伴幼狮为图案。,重点识别狮子、雄狮、动物等可见特征。
entity_JZ_HS_011,功名富贵,此图由雄雉鸡和牡丹组成。,灰塑,首进（具体位置 OCR 不明）,灰塑功名富贵,灰塑|功名富贵|牡丹|植物纹样,此图由雄雉鸡和牡丹组成。,重点识别牡丹、植物纹样等可见特征。
entity_JZ_HS_012,仙壶集庆、百事如意,以水仙、花瓶、三足炉表示仙壶；梅、灵芝、牡丹、蝴蝶、方孔钱等为吉祥善庆之物，喻集庆。,灰塑,首进中路南面,灰塑仙壶集庆、百事如意|仙壶集庆百事如意,灰塑|仙壶集庆|百事如意,该灰塑建筑装饰以“仙壶集庆、百事如意”为主要题材；现有文字资料主要说明题材或寓意，未提供更具体的可见外观细节。,重点结合“仙壶集庆、百事如意”题材与灰塑表现形式进行识别。
entity_JZ_HS_013,杏林春燕,由杏花与燕子组图。,灰塑,首进东路南面,灰塑杏林春燕,灰塑|杏林春燕,该灰塑建筑装饰以“杏林春燕”为主要题材；现有文字资料主要说明题材或寓意，未提供更具体的可见外观细节。,重点结合“杏林春燕”题材与灰塑表现形式进行识别。
entity_JZ_HS_014,松鹤延年,以松树与仙鹤组合。,灰塑,首进中路北面、西连廊西面,灰塑松鹤延年,灰塑|松鹤延年|仙鹤|松树|动物|植物纹样,以松树与仙鹤组合。,重点识别仙鹤、松树、动物、植物纹样等可见特征。
entity_JZ_HS_015,太师少师,以大小狮子（太狮少狮）构图。,灰塑,后东连廊、后西连廊；首进中路南面,灰塑太师少师,灰塑|太师少师|狮子|小狮|动物,以大小狮子（太狮少狮）构图。,重点识别狮子、小狮、动物等可见特征。
entity_JZ_HS_016,刘海戏金蟾,描绘刘海戏金蟾的形象，蟾为三只腿，十分少见。,灰塑,待考（OCR 未明确）,灰塑刘海戏金蟾,灰塑|刘海戏金蟾|金蟾|刘海|动物,描绘刘海戏金蟾的形象，蟾为三只腿，十分少见。,重点识别金蟾、刘海、动物等可见特征。
entity_JZ_HS_017,燕喜同春,以燕子、喜鹊、桃花、柳树为图。,灰塑,首进中路北面,灰塑燕喜同春,灰塑|燕喜同春|喜鹊|桃花|植物纹样,以燕子、喜鹊、桃花、柳树为图。,重点识别喜鹊、桃花、植物纹样等可见特征。
entity_JZ_HS_018,金衣百子,以黄鹂鸟与葡萄组合。,灰塑,首进中路北面,灰塑金衣百子,灰塑|金衣百子|葡萄|动物|植物纹样,以黄鹂鸟与葡萄组合。,重点识别葡萄、动物、植物纹样等可见特征。
entity_JZ_HS_019,路路顺利,以两只或六只奔鹿构图。,灰塑,中进西路南面、首进中路东侧北面,灰塑路路顺利,灰塑|路路顺利|动物,以两只或六只奔鹿构图。,重点识别动物特征，并结合“路路顺利”题材与灰塑表现形式判断。
entity_JZ_HS_020,百鸟朝凤,以凤凰为中心，百鸟环绕。,灰塑,首进西路北面,灰塑百鸟朝凤,灰塑|百鸟朝凤|凤凰|百鸟|动物,以凤凰为中心，百鸟环绕。,重点识别凤凰、百鸟、动物等可见特征。
entity_JZ_HS_021,五伦,以凤凰、仙鹤、鸳鸯、鹡鸰、黄莺五种鸟类构图。,灰塑,首进东路北面、中连廊、聚贤堂南面,灰塑五伦,灰塑|五伦|凤凰|仙鹤|鸳鸯|鹡鸰|动物,以凤凰、仙鹤、鸳鸯、鹡鸰、黄莺五种鸟类构图。,重点识别凤凰、仙鹤、鸳鸯、鹡鸰、动物等可见特征。
entity_JZ_HS_022,举案齐眉寿,以梅花、绶带鸟、石头构图。,灰塑,待考（OCR 未明确）,灰塑举案齐眉寿,灰塑|举案齐眉寿|梅花|动物|植物纹样,以梅花、绶带鸟、石头构图。,重点识别梅花、动物、植物纹样等可见特征。
entity_JZ_HS_023,刘伶醉酒,描绘刘伶醉酒的故事。刘伶，字伯伦，沛国（今安徽宿县）人，魏晋时竹林七贤之一。晋武帝时，召其对策间，他强调无为而治，遂被黜免。刘伶反对当朝的黑暗统治和虚伪礼教，为躲避政治迫害，他嗜酒佯狂，任性放浪。他经常随身携一壶酒，乘鹿车，边走边饮，命一仆人担锹跟随车后，并吩咐"死便埋我"。当时有名士张华，为汉高祖重要谋臣张良后裔，是魏晋时期众所推崇的文坛领袖。两人均为当时名士，文章盖世，彼此敬慕，于是成为很好的朋友。有一次，刘伶千里到遂州（今徐水）拜访他，张华用当地佳酿招待，刘伶感觉当地美酒最为香美醇厚，从此不思还乡，最后终老于此。,灰塑,前东斋南面,灰塑刘伶醉酒,灰塑|刘伶醉酒|醉酒,描绘刘伶醉酒的故事。,重点识别醉酒特征，并结合“刘伶醉酒”题材与灰塑表现形式判断。
entity_JZ_HS_024,狮子戏球,以狮子戏球为图案。,灰塑,前东连廊、前西连廊,灰塑狮子戏球,灰塑|狮子戏球|狮子|动物,以狮子戏球为图案。,重点识别狮子、动物等可见特征。
entity_JZ_HS_025,五福捧寿,以五只蝙蝠与"寿"字构图。,灰塑,前东连廊东面、西面,灰塑五福捧寿,灰塑|五福捧寿|蝙蝠|动物,以五只蝙蝠与"寿"字构图。,重点识别蝙蝠、动物等可见特征。
entity_JZ_HS_026,张松看孟德新书,故事取材于《三国演义》。刘璋谋士张松赴许都会见曹操，曹操的谋士杨修取出曹操的新作《孟德新书》给张松看，以显示曹操的才华。不料张松看后，讽刺该书是抄袭战国无名氏之文，并运用惊人的记忆力将全文背诵一遍，竟无一字差错，还说蜀中三尺孩童皆能背诵。曹操盛怒之下将新作烧毁。画面表现张松正在观看展示在面前的新书，曹操和谋士杨修等人在一旁面带得意笑容的情景。,灰塑,前东连廊东面,灰塑张松看孟德新书,灰塑|张松看孟德新书|曹操|人物|植物纹样,画面表现张松正在观看展示在面前的新书，曹操和谋士杨修等人在一旁面带得意笑容的情景。,重点识别曹操、植物纹样等可见特征。
entity_JZ_HS_027,公孙玩乐,主体图案为公孙玩乐图，描绘了公孙两代人一起玩乐，其乐融融的情景。其中两位老人对弈正酣，小孙子在旁边伺候着，又一位老先生怀抱孙儿坐在一旁，共享天伦之乐。图案上方还衬托有数只蝴蝶，表达吉祥意愿。,灰塑,前东连廊西面,灰塑公孙玩乐,灰塑|公孙玩乐,主体图案为公孙玩乐图，描绘了公孙两代人一起玩乐，其乐融融的情景。图案上方还衬托有数只蝴蝶，表达吉祥意愿。,重点结合“公孙玩乐”题材与灰塑表现形式进行识别。
entity_JZ_HS_028,麒麟图,麒麟背持笙抱笙，从天而降的形象。,灰塑,前东连廊东面,麒麟|灰塑麒麟图,灰塑|麒麟图|麒麟|动物,麒麟背持笙抱笙，从天而降的形象。,重点识别麒麟、动物等可见特征。
entity_JZ_HS_029,英雄,以一鹰一狮相对构图。,灰塑,前东连廊东面,灰塑英雄,灰塑|英雄|人物|动物,以一鹰一狮相对构图。,重点识别动物特征，并结合“英雄”题材与灰塑表现形式判断。
entity_JZ_HS_030,樊梨花与薛丁山,故事最早出自《征西全传》，讲的是唐太宗年间，西凉国进犯中原，唐太宗李世民派薛仁贵前去征讨西凉国。蹄江关守将樊洪之女樊梨花，对薛仁贵之子薛丁山一见倾心，两人历尽风波，终成美眷。后来依此编写了不少传奇小说和戏曲。,灰塑,前西连廊（推测，OCR 原文残损）,灰塑樊梨花与薛丁山,灰塑|樊梨花与薛丁山|薛丁山|樊梨花,蹄江关守将樊洪之女樊梨花，对薛仁贵之子薛丁山一见倾心，两人历尽风波，终成美眷。,重点识别薛丁山、樊梨花等可见特征。
entity_JZ_HS_031,竹林七贤,表现的是七人在竹林中弈棋、观画、读书的情景。,灰塑,前西连廊西面,灰塑竹林七贤,灰塑|竹林七贤|竹林|植物纹样,该灰塑建筑装饰以“竹林七贤”为主要题材；现有文字资料主要说明题材或寓意，未提供更具体的可见外观细节。,重点识别竹林、植物纹样等可见特征。
entity_JZ_HS_032,夜游赤壁,此图以苏轼《念奴娇·赤壁怀古》为题材，图案左上方有"夜游赤壁"四字。苏轼（公元1036—1101年），字子瞻，号东坡居士，唐宋散文八大家之一。他曾于仕途不得志之时，夜晚携友人泛舟赤壁，触景生情，怀古伤今，抒发自己功业无成的伤悲，并写下这首脍炙人口的名篇。,灰塑,前西连廊,灰塑夜游赤壁,灰塑|夜游赤壁,此图以苏轼《念奴娇·赤壁怀古》为题材，图案左上方有"夜游赤壁"四字。,重点结合“夜游赤壁”题材与灰塑表现形式进行识别。
entity_JZ_HS_033,羊城首景,根据清乾隆《广州府志》记载，清代羊城八景分别为：粤秀连峰、琼洲砥柱、五仙霞洞、孤兀禺山、镇海层楼、浮丘丹井、西樵云瀑、东海明珠。镇海楼，又名望海楼，俗称五层楼，明洪武十三年（公元1380年），永嘉侯朱亮祖扩建广州城时，在越秀山的北城墙上修建五层楼，以壮观瞻。旧时登楼眺望，珠水云山，层峰叠浩，羊城景色，历历在目。这幅灰塑作品即表现羊城首景粤秀连峰上峰峦起伏的优美景致。,灰塑,前西连廊东面,灰塑羊城首景,灰塑|羊城首景|动物,该灰塑建筑装饰以“羊城首景”为主要题材；现有文字资料主要说明题材或寓意，未提供更具体的可见外观细节。,重点识别动物特征，并结合“羊城首景”题材与灰塑表现形式判断。
entity_JZ_HS_034,花魁独占,以锦鸡立于枝头，组合梅花、喜鹊、牡丹构图，题字"花魁独占"。,灰塑,聚贤堂南面,灰塑花魁独占,灰塑|花魁独占|题字|喜鹊|牡丹|梅花|植物纹样,以锦鸡立于枝头，组合梅花、喜鹊、牡丹构图，题字"花魁独占"。,重点识别题字、喜鹊、牡丹、梅花、植物纹样等可见特征。
entity_JZ_HS_035,八仙过海,八仙乃古代神话传说中的八位神仙，传说他们都是凡人，学道后成仙，每人都有一套本领。据《东游记》中所说，一月三日西王母设蟠桃盛会，八仙各带奇宝前往赴宴。行至东海，便各显神通，将自己的法宝放入海中，逍遥过海。八仙各自所持的法宝是葫芦、芭蕉扇、鱼鼓、花篮、玉笏、横笛、荷花、宝剑，称为"暗八仙"。,灰塑,中进聚贤堂北面、后东西连廊两侧,灰塑八仙过海,灰塑|八仙过海|暗八仙|法宝|宝剑|荷花|葫芦|八仙|剑|植物纹样,八仙各自所持的法宝是葫芦、芭蕉扇、鱼鼓、花篮、玉笏、横笛、荷花、宝剑，称为"暗八仙"。,重点识别暗八仙、法宝、宝剑、荷花、葫芦等可见特征。
entity_JZ_HS_036,福在眼前,以蝙蝠与铜钱构图。,灰塑,中进聚贤堂南面东侧垂脊、后进中路北面垂脊,灰塑福在眼前,灰塑|福在眼前|蝙蝠|动物,以蝙蝠与铜钱构图。,重点识别蝙蝠、动物等可见特征。
entity_JZ_HS_037,蝙蝠,以蝙蝠造型为图案。陈家祠是岭南最多"福"的建筑，因为建筑装饰中广泛使用了蝙蝠造型。,灰塑,中进东路北面,灰塑蝙蝠,灰塑|蝙蝠|动物,以蝙蝠造型为图案。陈家祠是岭南最多"福"的建筑，因为建筑装饰中广泛使用了蝙蝠造型。,重点识别动物特征，并结合“蝙蝠”题材与灰塑表现形式判断。
entity_JZ_HS_038,福运连绵,以蝙蝠与祥云构图。,灰塑,中进东路正面脊,灰塑福运连绵,灰塑|福运连绵|蝙蝠|祥云|动物,以蝙蝠与祥云构图。,重点识别蝙蝠、祥云、动物等可见特征。
entity_JZ_HS_039,福寿双全,以蝙蝠与"寿"字、佛手、寿桃构图。,灰塑,中进东路北面、后进东路北面墙、首进中路东西面山墙、中进聚贤堂东西面山墙,灰塑福寿双全,灰塑|福寿双全|蝙蝠|佛手|动物,以蝙蝠与"寿"字、佛手、寿桃构图。,重点识别蝙蝠、佛手、动物等可见特征。
entity_JZ_HS_040,一品当朝（松鹤延年）,此图组合了"松鹤延年"与"一品当朝"两种吉祥图案。鹤立岩石之上，头部朝阳。,灰塑,中进东路南面,松鹤延年|一品当朝|灰塑一品当朝,灰塑|松鹤延年|一品当朝|动物|植物纹样,此图组合了"松鹤延年"与"一品当朝"两种吉祥图案。,重点识别动物、植物纹样等可见特征。
entity_JZ_HS_041,一甲（状元及第）,以鹤构图。,灰塑,中进东路南面,状元及第|一甲|灰塑一甲,灰塑|状元及第|一甲|动物,以鹤构图。,重点识别动物特征，并结合“一甲（状元及第）”题材与灰塑表现形式判断。
entity_JZ_HS_042,九鱼图,作品由九条金鱼组成。,灰塑,中进东路北面,九鱼|灰塑九鱼图,灰塑|九鱼图|金鱼|动物,作品由九条金鱼组成。,重点识别金鱼、动物等可见特征。
entity_JZ_HS_043,室上大吉,以一只雄鸡立于大石之上为图案。,灰塑,首进东路南面、中进西路南面、中进聚贤堂北面,灰塑室上大吉,灰塑|室上大吉,以一只雄鸡立于大石之上为图案。,重点结合“室上大吉”题材与灰塑表现形式进行识别。
entity_JZ_HS_044,富贵长寿,图中由牡丹、芭蕉、绶带鸟、怪石、群鸟等构成。,灰塑,中进西路南面,灰塑富贵长寿,灰塑|富贵长寿|群鸟|牡丹|人物|动物|植物纹样,图中由牡丹、芭蕉、绶带鸟、怪石、群鸟等构成。,重点识别群鸟、牡丹、动物、植物纹样等可见特征。
entity_JZ_HS_045,福上加福,图中上部数只蝙蝠相叠，中间蝴蝶为如意形状，与下层宝相花一起构图。,灰塑,后东厢连廊,灰塑福上加福,灰塑|福上加福|宝相花|蝙蝠|人物|动物,图中上部数只蝙蝠相叠，中间蝴蝶为如意形状，与下层宝相花一起构图。,重点识别宝相花、蝙蝠、动物等可见特征。
entity_JZ_HS_046,琶洲砥柱,"""琶洲砥柱""是清代羊城八景之一，位于今天广州市海珠区新港琶洲。历史上的琶洲是珠江中一个四面环水的洲渚，洲上有两座小山东西相连，形似琵琶，由此得名。明代万历二十八年（1600）建成琶洲塔，塔高约60多米，青砖砌成，平面呈八角形，外观九级，内分十八层；塔基刻有托塔力士像，形态生动。塔屹立江中，似中流砥柱，起导航作用。塔旁有海鳌寺和镇塔的北帝宫，二者形于一体，气势巍然，矗立在波涛汹涌的江中洲渚上，景象壮观。",灰塑,后东连廊西面,灰塑琶洲砥柱,灰塑|琶洲砥柱,该灰塑建筑装饰以“琶洲砥柱”为主要题材；现有文字资料主要说明题材或寓意，未提供更具体的可见外观细节。,重点结合“琶洲砥柱”题材与灰塑表现形式进行识别。
entity_JZ_HS_047,西樵云瀑,描绘西樵山飞瀑景观。,灰塑,后东连廊东面,灰塑西樵云瀑,灰塑|西樵云瀑,描绘西樵山飞瀑景观。,重点结合“西樵云瀑”题材与灰塑表现形式进行识别。
entity_JZ_HS_048,风尘三侠,取材自唐人传奇《虬髯客传》和《隋唐演义》。红拂本名张出尘，是隋末权臣杨素的侍妾，因常持红色拂尘立于杨素身旁，又称红拂。她知道杨素成不了大事，适逢李靖拜访杨素，红拂断定李靖是英雄，于是舍弃杨府随李靖而去，准备投靠李世民。路上遇见虬髯客张仲坚，三人志趣相投，又彼此订交，合称"风尘三侠"。张仲坚为人豪爽仗义，有志平定天下，三人同至太原见李世民，张仲坚觉李世民"真英主也"，弃而另投他园。行前，以自己所藏金银宝货赠李靖、红拂夫妇，使其协助李世民统一天下。图中虬髯客脚踏石凳，神采飞扬，正向端坐案后的李世民高谈阔论，李靖手抚长髯，微笑静听，红拂则在远处暗中观望，各人的性格特征一目了然。,灰塑,后进中路南面,灰塑风尘三侠,灰塑|风尘三侠|红色|端坐|拂尘|人物,红拂本名张出尘，是隋末权臣杨素的侍妾，因常持红色拂尘立于杨素身旁，又称红拂。图中虬髯客脚踏石凳，神采飞扬，正向端坐案后的李世民高谈阔论，李靖手抚长髯，微笑静听，红拂则在远处暗中观望，各人的性格特征一目了然。,重点识别红色、端坐、拂尘等可见特征。
entity_JZ_HS_049,日月神（伏羲女娲）,描绘日神与月神的形象。,灰塑,后进东路南面垂脊,伏羲女娲|日月神|灰塑日月神,灰塑|伏羲女娲|日月神|伏羲|女娲|动物,描绘日神与月神的形象。,重点识别伏羲、女娲、动物等可见特征。
entity_JZ_HS_050,福禄康宁,以蝙蝠、鹿、菊花、如意、桃、博古等构图，加上祝颂语"福禄康宁"。,灰塑,后进西路南面,灰塑福禄康宁,灰塑|福禄康宁|蝙蝠|菊花|动物|植物纹样,以蝙蝠、鹿、菊花、如意、桃、博古等构图，加上祝颂语"福禄康宁"。,重点识别蝙蝠、菊花、动物、植物纹样等可见特征。
entity_JZ_HS_051,福如东海,以蝙蝠、菊花、如意、博古构图，并题有祝颂语"福如东海"。,灰塑,后进西路南面,灰塑福如东海,灰塑|福如东海|蝙蝠|菊花|动物|植物纹样,以蝙蝠、菊花、如意、博古构图，并题有祝颂语"福如东海"。,重点识别蝙蝠、菊花、动物、植物纹样等可见特征。
entity_JZ_HS_052,天下文明（孔雀）,以孔雀为图案。,灰塑,后东斋北面,孔雀|天下文明|灰塑天下文明,灰塑|孔雀|天下文明|动物,以孔雀为图案。,重点识别动物特征，并结合“天下文明（孔雀）”题材与灰塑表现形式判断。
entity_JZ_HS_053,鱼跃龙门,描绘鲤鱼跃龙门的场景。,灰塑,后进中路南面、后西斋北面,灰塑鱼跃龙门,灰塑|鱼跃龙门|鲤鱼|动物,描绘鲤鱼跃龙门的场景。,重点识别鲤鱼、动物等可见特征。
entity_JZ_HS_054,博古图,以各种供品或宝物而组成的图案，有八吉祥、八宝、四艺、暗八仙等吉祥物，再用花卉和果品加以点缀。陈氏书院的博古图还添加有活泼的蝴蝶形象。,灰塑,首进东路北面垂脊、后东斋北面垂脊、后进连廊、中进东路南面,博古|灰塑博古图,灰塑|博古图|暗八仙|花卉|八仙|动物|植物纹样,以各种供品或宝物而组成的图案，有八吉祥、八宝、四艺、暗八仙等吉祥物，再用花卉和果品加以点缀。陈氏书院的博古图还添加有活泼的蝴蝶形象。,重点识别暗八仙、花卉、八仙、动物、植物纹样等可见特征。
entity_JZ_HS_055,卷草纹,以忍冬、荷花、兰花、牡丹等花草，经艺术处理后作"S"形波状曲线排列，构成二方连续图案，花草造型多卷曲圆润。,灰塑,屋脊檐下,灰塑卷草纹,灰塑|卷草纹|牡丹|荷花|植物纹样,以忍冬、荷花、兰花、牡丹等花草，经艺术处理后作"S"形波状曲线排列，构成二方连续图案，花草造型多卷曲圆润。,重点识别牡丹、荷花、植物纹样等可见特征。
entity_JZ_HS_056,宝相花,以牡丹、莲花等花卉为主体，中间镶嵌着形状不同、大小粗细有别的其它花叶组成，尤其在花蕊和花萼基部，用圆珠作规则排列，如同闪闪发光的宝珠，显得富丽华贵。,灰塑,后两厢连廊,灰塑宝相花,灰塑|宝相花|牡丹|莲花|花卉|宝珠|植物纹样,以牡丹、莲花等花卉为主体，中间镶嵌着形状不同、大小粗细有别的其它花叶组成，尤其在花蕊和花萼基部，用圆珠作规则排列，如同闪闪发光的宝珠，显得富丽华贵。,重点识别牡丹、莲花、花卉、宝珠、植物纹样等可见特征。
entity_JZ_HS_057,岭南春色,以岭南山水、自然景观为题的灰塑。,灰塑,后进中路北面,灰塑岭南春色,灰塑|岭南春色|山水,以岭南山水、自然景观为题的灰塑。,重点识别山水特征，并结合“岭南春色”题材与灰塑表现形式判断。
entity_JZ_MD_001,曹操大宴铜雀台,故事取材于《三国演义》。曹操在邺城建成铜雀台，择吉日聚集文武百官设宴庆贺。曹操命武官比试弓箭，胜者赏赐锦袍一件。众将纷纷献技，徐晃与许褚因争夺锦袍相持不下，曹操喜爱众将骁勇，各赐蜀锦一匹以解围。图中表现曹操端坐铜雀台上，观看徐晃与许褚在比武之后，为争夺象征荣誉的锦袍而斗得难解难分的场面。,木雕,首进正门东面梁架,木雕曹操大宴铜雀台,木雕|曹操大宴铜雀台|端坐|比武|曹操|徐晃|许褚|人物|动物,众将纷纷献技，徐晃与许褚因争夺锦袍相持不下，曹操喜爱众将骁勇，各赐蜀锦一匹以解围。图中表现曹操端坐铜雀台上，观看徐晃与许褚在比武之后，为争夺象征荣誉的锦袍而斗得难解难分的场面。,重点识别端坐、比武、曹操、徐晃、许褚等可见特征。
