work_id,work_name,relationship_type,target_name,target_type,evidence
entity_JZ_HS_014,松鹤延年,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_015,太师少师,HAS_MEANING,加官进禄,CulturalMeaning,官运亨通、飞黄腾达
entity_JZ_HS_015,太师少师,USES_TECHNIQUE,堆塑,CraftTechnique,瑞兽灰塑
entity_JZ_HS_016,刘海戏金蟾,DEPICTS,刘海,StoryCharacter,描绘刘海戏金蟾
entity_JZ_HS_016,刘海戏金蟾,HAS_MEANING,富贵吉祥,CulturalMeaning,招财进宝、降福喜庆
entity_JZ_HS_016,刘海戏金蟾,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_017,燕喜同春,HAS_MEANING,吉祥喜庆,CulturalMeaning,共庆春日、欢乐平安
entity_JZ_HS_017,燕喜同春,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_017,燕喜同春,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_018,金衣百子,HAS_MEANING,加官进禄,CulturalMeaning,官居高品
entity_JZ_HS_018,金衣百子,HAS_MEANING,子孙繁衍,CulturalMeaning,百子千孙
entity_JZ_HS_018,金衣百子,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_018,金衣百子,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_019,路路顺利,HAS_MEANING,顺遂平安,CulturalMeaning,一帆风顺、四通八达
entity_JZ_HS_019,路路顺利,HAS_MEANING,加官进禄,CulturalMeaning,高官厚禄
entity_JZ_HS_019,路路顺利,USES_TECHNIQUE,堆塑,CraftTechnique,瑞兽灰塑
entity_JZ_HS_020,百鸟朝凤,HAS_MEANING,吉祥喜庆,CulturalMeaning,吉祥美好、百鸟呈祥
entity_JZ_HS_020,百鸟朝凤,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_020,百鸟朝凤,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_021,五伦,HAS_MEANING,五伦道德,CulturalMeaning,五种人伦关系、道德规范
entity_JZ_HS_021,五伦,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_022,举案齐眉寿,HAS_MEANING,福寿安康,CulturalMeaning,齐眉贺寿
entity_JZ_HS_022,举案齐眉寿,HAS_MEANING,姻缘美满,CulturalMeaning,夫妻相敬
entity_JZ_HS_022,举案齐眉寿,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_023,刘伶醉酒,DEPICTS,刘伶,StoryCharacter,描绘刘伶醉酒
entity_JZ_HS_023,刘伶醉酒,HAS_MEANING,文人雅趣,CulturalMeaning,魏晋名士风度、率性放达
entity_JZ_HS_023,刘伶醉酒,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_024,狮子戏球,HAS_MEANING,吉祥喜庆,CulturalMeaning,喜庆吉祥、消灾祈福
entity_JZ_HS_024,狮子戏球,USES_TECHNIQUE,堆塑,CraftTechnique,瑞兽灰塑
entity_JZ_HS_025,五福捧寿,HAS_MEANING,福寿安康,CulturalMeaning,五福捧寿
entity_JZ_HS_025,五福捧寿,USES_TECHNIQUE,堆塑,CraftTechnique,吉祥灰塑
entity_JZ_HS_026,张松看孟德新书,DEPICTS,张松,StoryCharacter,张松看书，曹操杨修在旁
entity_JZ_HS_026,张松看孟德新书,DEPICTS,曹操,StoryCharacter,张松看书，曹操杨修在旁
entity_JZ_HS_026,张松看孟德新书,DEPICTS,杨修,StoryCharacter,张松看书，曹操杨修在旁
entity_JZ_HS_026,张松看孟德新书,HAS_MEANING,才华横溢,CulturalMeaning,才智过人、过目不忘
entity_JZ_HS_026,张松看孟德新书,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_027,公孙玩乐,HAS_MEANING,天伦之乐,CulturalMeaning,天伦之乐、含饴弄孙
entity_JZ_HS_027,公孙玩乐,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_027,公孙玩乐,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_028,麒麟图,HAS_MEANING,子孙繁衍,CulturalMeaning,天降贵子、连生贵子
entity_JZ_HS_028,麒麟图,HAS_MEANING,祥瑞象征,CulturalMeaning,祥瑞
entity_JZ_HS_028,麒麟图,USES_TECHNIQUE,堆塑,CraftTechnique,瑞兽灰塑
entity_JZ_HS_029,英雄,HAS_MEANING,英雄气概,CulturalMeaning,斗志昂扬、志在必得
entity_JZ_HS_029,英雄,USES_TECHNIQUE,堆塑,CraftTechnique,瑞兽灰塑
entity_JZ_HS_030,樊梨花与薛丁山,DEPICTS,樊梨花,StoryCharacter,人物戏曲故事
entity_JZ_HS_030,樊梨花与薛丁山,DEPICTS,薛丁山,StoryCharacter,人物戏曲故事
entity_JZ_HS_030,樊梨花与薛丁山,HAS_MEANING,姻缘美满,CulturalMeaning,才子佳人、终成眷属
entity_JZ_HS_030,樊梨花与薛丁山,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_031,竹林七贤,DEPICTS,嵇康,StoryCharacter,七人在竹林中
entity_JZ_HS_031,竹林七贤,DEPICTS,阮籍,StoryCharacter,七人在竹林中
entity_JZ_HS_031,竹林七贤,DEPICTS,山涛,StoryCharacter,七人在竹林中
entity_JZ_HS_031,竹林七贤,DEPICTS,向秀,StoryCharacter,七人在竹林中
entity_JZ_HS_031,竹林七贤,DEPICTS,刘伶,StoryCharacter,七人在竹林中
entity_JZ_HS_031,竹林七贤,DEPICTS,阮咸,StoryCharacter,七人在竹林中
entity_JZ_HS_031,竹林七贤,DEPICTS,王戎,StoryCharacter,七人在竹林中
entity_JZ_HS_031,竹林七贤,HAS_MEANING,文人雅趣,CulturalMeaning,魏晋风度
entity_JZ_HS_031,竹林七贤,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_032,夜游赤壁,DEPICTS,苏轼,StoryCharacter,苏轼携友人泛舟赤壁
entity_JZ_HS_032,夜游赤壁,HAS_MEANING,文人雅趣,CulturalMeaning,文人怀古、寄情山水
entity_JZ_HS_032,夜游赤壁,USES_TECHNIQUE,堆塑,CraftTechnique,山水灰塑
entity_JZ_HS_033,羊城首景,HAS_MEANING,地方风物,CulturalMeaning,羊城名胜风光
entity_JZ_HS_033,羊城首景,USES_TECHNIQUE,堆塑,CraftTechnique,山水灰塑
entity_JZ_HS_034,花魁独占,HAS_MEANING,加官进禄,CulturalMeaning,官运亨通
entity_JZ_HS_034,花魁独占,HAS_MEANING,吉祥喜庆,CulturalMeaning,喜事来临
entity_JZ_HS_034,花魁独占,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_034,花魁独占,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_035,八仙过海,DEPICTS,铁拐李,StoryCharacter,八仙过海
entity_JZ_HS_035,八仙过海,DEPICTS,汉钟离,StoryCharacter,八仙过海
entity_JZ_HS_035,八仙过海,DEPICTS,张果老,StoryCharacter,八仙过海
entity_JZ_HS_035,八仙过海,DEPICTS,蓝采和,StoryCharacter,八仙过海
entity_JZ_HS_035,八仙过海,DEPICTS,何仙姑,StoryCharacter,八仙过海
entity_JZ_HS_035,八仙过海,DEPICTS,吕洞宾,StoryCharacter,八仙过海
entity_JZ_HS_035,八仙过海,DEPICTS,韩湘子,StoryCharacter,八仙过海
entity_JZ_HS_035,八仙过海,DEPICTS,曹国舅,StoryCharacter,八仙过海
entity_JZ_HS_035,八仙过海,HAS_MEANING,得道成仙,CulturalMeaning,各显神通
entity_JZ_HS_035,八仙过海,HAS_MEANING,吉祥喜庆,CulturalMeaning,吉祥如意
entity_JZ_HS_035,八仙过海,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_036,福在眼前,HAS_MEANING,福运福气,CulturalMeaning,福在眼前
entity_JZ_HS_036,福在眼前,HAS_MEANING,富贵吉祥,CulturalMeaning,招财进宝
entity_JZ_HS_036,福在眼前,USES_TECHNIQUE,堆塑,CraftTechnique,吉祥灰塑
entity_JZ_HS_037,蝙蝠,HAS_MEANING,福运福气,CulturalMeaning,福气、幸福
entity_JZ_HS_037,蝙蝠,USES_TECHNIQUE,堆塑,CraftTechnique,吉祥灰塑
entity_JZ_HS_038,福运连绵,HAS_MEANING,福运福气,CulturalMeaning,福运连绵
entity_JZ_HS_038,福运连绵,USES_TECHNIQUE,堆塑,CraftTechnique,吉祥灰塑
entity_JZ_HS_039,福寿双全,HAS_MEANING,福寿安康,CulturalMeaning,福寿双全
entity_JZ_HS_039,福寿双全,USES_TECHNIQUE,堆塑,CraftTechnique,吉祥灰塑
entity_JZ_HS_040,一品当朝、松鹤延年,HAS_MEANING,加官进禄,CulturalMeaning,一品当朝
entity_JZ_HS_040,一品当朝、松鹤延年,HAS_MEANING,福寿安康,CulturalMeaning,延年益寿
entity_JZ_HS_040,一品当朝、松鹤延年,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_041,一甲状元及第,HAS_MEANING,科举及第,CulturalMeaning,殿试高中
entity_JZ_HS_041,一甲状元及第,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_042,九鱼图,HAS_MEANING,富贵吉祥,CulturalMeaning,金玉满堂
entity_JZ_HS_042,九鱼图,HAS_MEANING,福寿安康,CulturalMeaning,九如祈福
entity_JZ_HS_042,九鱼图,HAS_MEANING,顺遂平安,CulturalMeaning,万事如意
entity_JZ_HS_042,九鱼图,USES_TECHNIQUE,堆塑,CraftTechnique,吉祥灰塑
entity_JZ_HS_042,九鱼图,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_043,室上大吉,HAS_MEANING,顺遂平安,CulturalMeaning,合府安康、大吉大利
entity_JZ_HS_043,室上大吉,HAS_MEANING,辟邪祈福,CulturalMeaning,辟邪祈福
entity_JZ_HS_043,室上大吉,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_043,室上大吉,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_044,富贵长寿,HAS_MEANING,富贵吉祥,CulturalMeaning,富贵
entity_JZ_HS_044,富贵长寿,HAS_MEANING,福寿安康,CulturalMeaning,长寿
entity_JZ_HS_044,富贵长寿,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_044,富贵长寿,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_045,福上加福,HAS_MEANING,福运福气,CulturalMeaning,福上加福
entity_JZ_HS_045,福上加福,HAS_MEANING,福寿安康,CulturalMeaning,福寿如意
entity_JZ_HS_045,福上加福,USES_TECHNIQUE,堆塑,CraftTechnique,吉祥灰塑
entity_JZ_HS_046,琶洲砥柱,HAS_MEANING,地方风物,CulturalMeaning,羊城名胜风光
entity_JZ_HS_046,琶洲砥柱,USES_TECHNIQUE,堆塑,CraftTechnique,山水灰塑
entity_JZ_HS_047,西樵云瀑,HAS_MEANING,地方风物,CulturalMeaning,名山胜景
entity_JZ_HS_047,西樵云瀑,USES_TECHNIQUE,堆塑,CraftTechnique,山水灰塑
entity_JZ_HS_048,风尘三侠,DEPICTS,虬髯客,StoryCharacter,图中四人，虬髯客、李靖、红拂、李世民
entity_JZ_HS_048,风尘三侠,DEPICTS,李靖,StoryCharacter,图中四人
entity_JZ_HS_048,风尘三侠,DEPICTS,红拂,StoryCharacter,图中四人
entity_JZ_HS_048,风尘三侠,DEPICTS,李世民,StoryCharacter,图中四人
entity_JZ_HS_048,风尘三侠,HAS_MEANING,侠义精神,CulturalMeaning,识英雄、重英雄、豪侠仗义
entity_JZ_HS_048,风尘三侠,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_049,日月神、伏羲女娲,DEPICTS,伏羲,StoryCharacter,描绘日神月神
entity_JZ_HS_049,日月神、伏羲女娲,DEPICTS,女娲,StoryCharacter,描绘日神月神
entity_JZ_HS_049,日月神、伏羲女娲,HAS_MEANING,自然崇拜,CulturalMeaning,日月崇拜、民族起源
entity_JZ_HS_049,日月神、伏羲女娲,USES_TECHNIQUE,堆塑,CraftTechnique,神话灰塑
entity_JZ_HS_050,福禄康宁,HAS_MEANING,福寿安康,CulturalMeaning,福禄康宁
entity_JZ_HS_050,福禄康宁,USES_TECHNIQUE,堆塑,CraftTechnique,吉祥灰塑
entity_JZ_HS_051,福如东海,HAS_MEANING,福运福气,CulturalMeaning,福分浩大
entity_JZ_HS_051,福如东海,HAS_MEANING,吉祥喜庆,CulturalMeaning,吉祥如意
entity_JZ_HS_051,福如东海,USES_TECHNIQUE,堆塑,CraftTechnique,吉祥灰塑
entity_JZ_HS_052,天下文明、孔雀,HAS_MEANING,加官进禄,CulturalMeaning,高官显贵
entity_JZ_HS_052,天下文明、孔雀,HAS_MEANING,祥瑞象征,CulturalMeaning,天下文明
entity_JZ_HS_052,天下文明、孔雀,USES_TECHNIQUE,堆塑,CraftTechnique,瑞禽灰塑
entity_JZ_HS_053,鱼跃龙门,HAS_MEANING,科举及第,CulturalMeaning,飞黄腾达
entity_JZ_HS_053,鱼跃龙门,HAS_MEANING,教化励志,CulturalMeaning,奋发向上
entity_JZ_HS_053,鱼跃龙门,USES_TECHNIQUE,堆塑,CraftTechnique,瑞兽灰塑
entity_JZ_HS_054,博古图,HAS_MEANING,文人雅趣,CulturalMeaning,博古通今、雅趣吉祥
entity_JZ_HS_054,博古图,USES_TECHNIQUE,堆塑,CraftTechnique,器物灰塑
entity_JZ_HS_055,卷草纹,HAS_MEANING,防火辟邪,CulturalMeaning,防火辟灾
entity_JZ_HS_055,卷草纹,HAS_MEANING,生命不息,CulturalMeaning,生生不息
entity_JZ_HS_055,卷草纹,USES_TECHNIQUE,堆塑,CraftTechnique,连续纹样灰塑
entity_JZ_HS_056,宝相花,HAS_MEANING,富贵吉祥,CulturalMeaning,富丽华贵
entity_JZ_HS_056,宝相花,HAS_MEANING,祥瑞象征,CulturalMeaning,宝相庄严
entity_JZ_HS_056,宝相花,USES_TECHNIQUE,堆塑,CraftTechnique,花卉灰塑
entity_JZ_HS_057,岭南春色,HAS_MEANING,地方风物,CulturalMeaning,岭南风光、山水情怀
entity_JZ_HS_057,岭南春色,USES_TECHNIQUE,堆塑,CraftTechnique,山水灰塑
entity_JZ_MD_001,曹操大宴铜雀台,DEPICTS,曹操,StoryCharacter,图中曹操、徐晃、许褚
entity_JZ_MD_001,曹操大宴铜雀台,DEPICTS,徐晃,StoryCharacter,图中曹操、徐晃、许褚
entity_JZ_MD_001,曹操大宴铜雀台,DEPICTS,许褚,StoryCharacter,图中曹操、徐晃、许褚
entity_JZ_MD_001,曹操大宴铜雀台,HAS_MEANING,英雄气概,CulturalMeaning,骁勇武艺
entity_JZ_MD_001,曹操大宴铜雀台,HAS_MEANING,建功立业,CulturalMeaning,建功立业
entity_JZ_MD_001,曹操大宴铜雀台,USES_TECHNIQUE,浮雕,CraftTechnique,梁架浮雕
entity_JZ_MD_002,程咬金贺寿,DEPICTS,程咬金,StoryCharacter,程咬金端坐府中
entity_JZ_MD_002,程咬金贺寿,HAS_MEANING,福寿安康,CulturalMeaning,喜庆贺寿
entity_JZ_MD_002,程咬金贺寿,HAS_MEANING,英雄气概,CulturalMeaning,功臣福将
entity_JZ_MD_002,程咬金贺寿,USES_TECHNIQUE,浮雕,CraftTechnique,梁架浮雕
entity_JZ_MD_003,摘星楼胶鬲死节,DEPICTS,纣王,StoryCharacter,图中纣王、胶鬲
entity_JZ_MD_003,摘星楼胶鬲死节,DEPICTS,胶鬲,StoryCharacter,图中纣王、胶鬲
entity_JZ_MD_003,摘星楼胶鬲死节,HAS_MEANING,忠义报国,CulturalMeaning,忠臣死节、敢于直谏
entity_JZ_MD_003,摘星楼胶鬲死节,USES_TECHNIQUE,浮雕,CraftTechnique,梁架浮雕
entity_JZ_MD_004,践土会盟,DEPICTS,周襄王,StoryCharacter,上方主持会议者
entity_JZ_MD_004,践土会盟,DEPICTS,晋文公,StoryCharacter,各国诸侯会盟
entity_JZ_MD_004,践土会盟,HAS_MEANING,忠义报国,CulturalMeaning,辅佐王室
entity_JZ_MD_004,践土会盟,USES_TECHNIQUE,浮雕,CraftTechnique,梁架浮雕
entity_JZ_MD_005,赵美容打飞熊,DEPICTS,赵美容,StoryCharacter,赵美容降服飞熊
entity_JZ_MD_005,赵美容打飞熊,HAS_MEANING,巾帼英雄,CulturalMeaning,巾帼英雄、中原威仪
entity_JZ_MD_005,赵美容打飞熊,USES_TECHNIQUE,浮雕,CraftTechnique,梁架浮雕
entity_JZ_MD_006,八仙庆寿,DEPICTS,王母,StoryCharacter,八仙庆寿，王母、八仙、麻姑
entity_JZ_MD_006,八仙庆寿,DEPICTS,铁拐李,StoryCharacter,八仙
entity_JZ_MD_006,八仙庆寿,DEPICTS,汉钟离,StoryCharacter,八仙
entity_JZ_MD_006,八仙庆寿,DEPICTS,张果老,StoryCharacter,八仙
entity_JZ_MD_006,八仙庆寿,DEPICTS,蓝采和,StoryCharacter,八仙
entity_JZ_MD_006,八仙庆寿,DEPICTS,何仙姑,StoryCharacter,八仙
entity_JZ_MD_006,八仙庆寿,DEPICTS,吕洞宾,StoryCharacter,八仙
entity_JZ_MD_006,八仙庆寿,DEPICTS,韩湘子,StoryCharacter,八仙
entity_JZ_MD_006,八仙庆寿,DEPICTS,曹国舅,StoryCharacter,八仙
entity_JZ_MD_006,八仙庆寿,DEPICTS,麻姑,StoryCharacter,麻姑献寿
entity_JZ_MD_006,八仙庆寿,HAS_MEANING,福寿安康,CulturalMeaning,祝寿庆贺、吉祥长寿
entity_JZ_MD_006,八仙庆寿,USES_TECHNIQUE,浮雕,CraftTechnique,梁架浮雕
entity_JZ_MD_007,薛刚叙唐,DEPICTS,薛刚,StoryCharacter,复唐后受封场面
entity_JZ_MD_007,薛刚叙唐,DEPICTS,庐陵王,StoryCharacter,复唐后受封场面
entity_JZ_MD_007,薛刚叙唐,HAS_MEANING,忠义报国,CulturalMeaning,忠臣复国、功臣受封
entity_JZ_MD_007,薛刚叙唐,USES_TECHNIQUE,浮雕,CraftTechnique,梁架浮雕
entity_JZ_MD_008,雷神张仙,DEPICTS,雷神,StoryCharacter,图中两位神仙，雷神辛环
entity_JZ_MD_008,雷神张仙,DEPICTS,张仙,StoryCharacter,图中两位神仙
entity_JZ_MD_008,雷神张仙,HAS_MEANING,辟邪祈福,CulturalMeaning,祈福庇佑
entity_JZ_MD_008,雷神张仙,HAS_MEANING,子孙繁衍,CulturalMeaning,护佑儿童诞生
entity_JZ_MD_008,雷神张仙,USES_TECHNIQUE,镂雕,CraftTechnique,雀替镂雕
entity_JZ_MD_009,鹊桥会,DEPICTS,织女,StoryCharacter,手捧云锦者为织女
entity_JZ_MD_009,鹊桥会,DEPICTS,牛郎,StoryCharacter,背草帽者为牛郎
entity_JZ_MD_009,鹊桥会,HAS_MEANING,姻缘美满,CulturalMeaning,坚贞爱情
entity_JZ_MD_009,鹊桥会,USES_TECHNIQUE,镂雕,CraftTechnique,雀替镂雕
entity_JZ_MD_010,西天取经,DEPICTS,孙悟空,StoryCharacter,挑担者为孙悟空
entity_JZ_MD_010,西天取经,DEPICTS,唐僧,StoryCharacter,穿袈裟者为唐僧
entity_JZ_MD_010,西天取经,HAS_MEANING,教化励志,CulturalMeaning,坚韧不拔、终成正果
entity_JZ_MD_010,西天取经,USES_TECHNIQUE,镂雕,CraftTechnique,雀替镂雕
entity_JZ_MD_011,刘海戏金蟾,DEPICTS,刘海,StoryCharacter,刘海戏金蟾
entity_JZ_MD_011,刘海戏金蟾,HAS_MEANING,富贵吉祥,CulturalMeaning,招财进宝、步步金钱
entity_JZ_MD_011,刘海戏金蟾,USES_TECHNIQUE,镂雕,CraftTechnique,雀替镂雕
entity_JZ_MD_012,钟馗引福,DEPICTS,钟馗,StoryCharacter,钟馗一手执剑一手牵引蝙蝠
entity_JZ_MD_012,钟馗引福,HAS_MEANING,辟邪祈福,CulturalMeaning,驱邪引福、引福归堂
entity_JZ_MD_012,钟馗引福,USES_TECHNIQUE,浮雕,CraftTechnique,檐板浮雕
entity_JZ_MD_013,竹福,HAS_MEANING,福寿安康,CulturalMeaning,福寿双全
entity_JZ_MD_013,竹福,HAS_MEANING,教化励志,CulturalMeaning,大器晚成
entity_JZ_MD_013,竹福,USES_TECHNIQUE,浮雕,CraftTechnique,挡中屏风浮雕
entity_JZ_MD_013,竹福,USES_TECHNIQUE,镂雕,CraftTechnique,挡中屏风镂雕
entity_JZ_MD_014,创大业、儿孙永发,HAS_MEANING,建功立业,CulturalMeaning,开创大业
entity_JZ_MD_014,创大业、儿孙永发,HAS_MEANING,子孙繁衍,CulturalMeaning,儿孙永发
entity_JZ_MD_015,博古图、五福捧寿,HAS_MEANING,福寿安康,CulturalMeaning,五福捧寿、长寿富贵康宁好德善终
entity_JZ_MD_016,渔舟唱晚,HAS_MEANING,地方风物,CulturalMeaning,岭南水乡生活风貌
