id,name,entity_type,entity_label,tags,description,images,source,保护级别,标注,别称,别名,博物馆级别,材质,材质/工艺,藏品数量,称号,城市名称,尺寸,当前展览,地理位置,工艺技法,工艺类别,功能,官方网站,馆藏来源,馆藏数量,核心建筑,幻灯片编号,籍贯,简介,建筑格局,建筑面积,建筑数量,景区级别,捐赠,捐赠人,捐赠人/作者,开放时间,款识,类别,类别缩写,联系电话,落成时间,门票信息,面积,内容描述,年代,起止时间,全称,入馆时间,身份,生卒年,时间,时长,始建时间,适合,收藏单位,图片URL,位置,位置数量,文化寓意,与陈家祠关系,展览类型,展期,展厅,占地面积,珍贵文物,职务,主题,主题简介,主题名称,主要装饰,作品数量,作者,作者/铭文者
entity_space_010,中进西厅,空间节点,Space,建筑空间|展厅空间,中进西厅位于中进西侧，目前作为展厅使用。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,展厅,,,,,,,中进西厅为陈家祠广州考古出土陶瓷主题展厅，展出广州地区考古遗址出土的唐、五代、宋、明、清各代陶瓷器，涵盖景德镇窑、石湾窑、南海窑、长沙窑、西村窑、耀州窑、龙泉窑、越窑、大埔高陂窑、潮州笔架山窑等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中进西侧,,,,,,,,,,广州考古出土陶瓷,,,,,,
entity_space_011,中东厢,空间节点,Space,建筑空间|展厅功能名称,中东厢为展厅功能名称，实际位于中进东厅区域内，并非独立的厢房建筑，目前展出端砚精品展。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,端砚精品展,,,,展厅,,,,,,,中东厢是陈家祠端砚艺术主题展厅，集中展示自宋元至当代的端砚精品，包括古砚、名坑名品、当代名匠作品等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中进东厅区域内（展厅功能名称，并非独立厢房建筑）,,,,,,,,,,端砚艺术,,,,,,
entity_space_012,中西厢,空间节点,Space,建筑空间|展厅功能名称,中西厢为展厅功能名称，实际位于中进西厅区域内，并非独立的厢房建筑，目前作为备用展厅或办公使用。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,展厅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中进西厅区域内（展厅功能名称，并非独立厢房建筑）,,,,,,,,,,,,,,,,
entity_space_013,后进正厅,空间节点,Space,建筑空间|中轴建筑|展厅空间,后进正厅（又称后进中厅）位于后进中轴线上，是”后进中厅”的正式建筑名称，兼具展厅和祖堂功能，目前展出百年陈家祠图片展。后进正厅内设祖堂，供奉先祖牌位。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,后进中厅,,,,,,,,百年陈家祠图片展,,,,展厅/祖堂,,,,,,,后进正厅为陈家祠『百年陈家祠』主题展厅，系统展示陈家祠从清代合族祠创建、民国时期变迁、新中国成立后保护管理的发展历程，包括历史地图、文献、文物、历史照片和现代数字化展示等内容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进中轴,,,,,,,,,,百年陈家祠,,,,,,
entity_space_014,后进东厅,空间节点,Space,建筑空间|展厅空间,后进东厅位于后进东侧，目前展出承前启后——陈家祠的复原保护和科技保护展览。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,承前启后展,,,,展厅,,,,,,,后进东厅为陈家祠『建筑保护与文物修复』主题展厅，集中展示陈家祠自1959年建馆以来在建筑保护、维修工程、文物修复、监测预警等方面的工作与成果，包括历史文献、维修合同、历史照片、修复案例、监测设备等内容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进东侧,,,,,,,,,,建筑保护与文物修复,,,,,,
entity_space_015,祖堂,空间节点,Space,建筑空间|中轴建筑|祭祀空间,祖堂位于后进正厅内，是供奉陈氏先祖牌位的神圣空间。堂内设有11座高达8米的木雕神龛罩，规模宏大，是广东现存最大型的清代木雕杰作之一。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,供奉先祖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进正厅内,,,,,,,,,,,,,11座8米高木雕神龛罩,,,
entity_space_016,后东斋,空间节点,Space,建筑空间|斋舍,后东斋位于后进东路最外侧（后进东厅东侧），原为书斋建筑，现为展厅和办公空间。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,展厅/办公,,,,,,,后东斋展厅，展示玉雕、瓷塑、木雕、陶塑、广彩、内画、剪纸等多种传统工艺品和文物，涵盖十二生肖、骏马图、三国故事、革命历史等多元主题。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进东路最外侧（后进东厅东侧）,,,,,,,,,,,,,,,,
entity_space_017,后西斋,空间节点,Space,建筑空间|斋舍,后西斋位于后进西路最外侧（后进西厅西侧），目前作为文物库房使用。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,文物库房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进西路最外侧（后进西厅西侧）,,,,,,,,,,,,,,,,
entity_space_018,青云巷,空间节点,Space,建筑空间|通道,青云巷位于各进之间东西两侧，兼具通道、通风、采光和防火隔离等功能，是岭南建筑特有的空间设计。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,通道、通风、采光、防火隔离,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,各进之间东西两侧,,,,,,,,,,,,,,,,
entity_space_019,前东斋,空间节点,Space,建筑空间|斋舍,前东斋位于首进东路最外侧（首进东厅东侧），原为书斋建筑，现为展厅和办公空间。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,展厅/办公,,,,,,,前东斋为陈家祠展厅之一，主要展出牙雕与竹雕类展品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首进东路最外侧（首进东厅东侧）,,,,,,,,,,,,,,,,
entity_space_020,前西斋,空间节点,Space,建筑空间|斋舍,前西斋位于首进西路最外侧（首进西厅西侧），原为书斋建筑，现为展厅和办公空间。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,展厅/办公,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首进西路最外侧（首进西厅西侧）,,,,,,,,,,,,,,,,
entity_space_021,后东厢,空间节点,Space,建筑空间|厢房,后东厢位于后进区域南侧、后庭东侧，面积约70平方米，目前用作丙午贺岁工艺精品展专题展览F。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,展厅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进区域南侧、后庭东侧,,,,,,,,,,,,,,,,
entity_space_022,后西厢,空间节点,Space,建筑空间|厢房,后西厢位于后进区域南侧、后庭西侧，目前作为附属空间和通道使用。从后西厢旁边的门出去即到西走廊，洗手间就在西走廊。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,附属空间和通道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进区域南侧、后庭西侧,,,,,,,,,,,,,,,,
entity_space_023,前庭,空间节点,Space,建筑空间|庭院,前庭位于首进正厅北侧、中进聚贤堂南侧，是首进与中进之间的过渡庭院，前庭西侧为前西厢，前庭东侧为前东厢。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,空间过渡、景观休憩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首进正厅北侧、中进聚贤堂南侧,,,,,,,,,,,,,,,,
entity_space_024,后庭,空间节点,Space,建筑空间|庭院,后庭位于中进与后进之间，是中进与后进的过渡庭院，后庭西侧为后西厢，后庭东侧为后东厢。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,空间过渡、景观休憩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中进与后进之间,,,,,,,,,,,,,,,,
entity_space_025,后进西厅,空间节点,Space,建筑空间|展厅空间,后进西厅位于后进正厅西侧，当前用作民间工艺展演厅，同时展出瓷行万里潮——明清广东陶瓷展。,,广东民间工艺博物馆官网,,,,,,,,,,,,民间工艺展演厅；瓷行万里潮——明清广东陶瓷展,,,,展厅,,,,,,,后进西厅为陈家祠『广东陶瓷艺术』主题展厅，集中展示广东地区各类陶瓷艺术精品，包括广彩、石湾陶、枫溪瓷、潮州瓷、景德镇瓷、大埔高陂瓷、高州瓷等窑口的代表性作品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进正厅西侧,,,,,,,,,,广东陶瓷艺术,,,,,,
entity_space_026,后花园,空间节点,Space,建筑空间|庭院,后花园位于后进正厅（祖堂）北侧，是建筑群最北端的庭院空间，当前用于景观休憩。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,景观休憩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进正厅（祖堂）北侧,,,,,,,,,,,,,,,,
entity_space_027,西走廊,空间节点,Space,建筑空间|走廊,西走廊位于后西厢西侧（建筑群西侧外围），从后西厢旁边的门出去即到，洗手间即位于此走廊内。该门在南北方向上与前后西厢在同一直线上，在东西方向上与中进西厅、聚贤堂、中进东厅在同一直线上。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,通道、设施所在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后西厢西侧（建筑群西侧外围）,,,,,,,,,,,,,,,,
entity_space_028,东走廊,空间节点,Space,建筑空间|走廊,东走廊位于后东厢东侧（建筑群东侧外围），从后东厢旁边的门出去即到，办公室即位于此走廊内，与西走廊对称分布。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,通道、设施所在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后东厢东侧（建筑群东侧外围）,,,,,,,,,,,,,,,,
entity_space_029,西门,空间节点,Space,建筑空间|通道,西门位于前院西侧，作为西侧出入口使用。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,西侧出入口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前院西侧,,,,,,,,,,,,,,,,
entity_space_030,东门,空间节点,Space,建筑空间|通道,东门位于前院东侧，作为东侧出入口使用。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,东侧出入口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前院东侧,,,,,,,,,,,,,,,,
entity_exhibit_001,岭南民间百艺,展厅,ExhibitionHall,常设展览,岭南民间百艺展，展示岭南地区丰富多彩的民间传统工艺，位于中进东厅。,,广东民间工艺博物馆官网；《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中进东厅,,,,常设,,,,,,,,,,,,
entity_exhibit_002,百年陈家祠图片展,展厅,ExhibitionHall,常设展览,百年陈家祠图片展，通过历史图片展示陈家祠百年变迁，位于后进正厅（后进中厅）。,,广东民间工艺博物馆官网；《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进正厅,,,,常设,,,,,,,,,,,,
entity_exhibit_003,承前启后展,展厅,ExhibitionHall,常设展览,承前启后展览，展示陈家祠的复原保护和科技保护历程，位于后进东厅。,,广东民间工艺博物馆官网；《广州陈氏书院实录》,,,,承前启后——陈家祠的复原保护和科技保护,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后进东厅,,,,常设,,,,,,,,,,,,
entity_exhibit_004,广州旧家居展,展厅,ExhibitionHall,常设展览,广州旧家居展，展示广州传统家居风貌，位于前东厢。,,广东民间工艺博物馆官网；《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前东厢,,,,常设,,,,,,,,,,,,
entity_exhibit_005,岭南传统建筑装饰艺术展,展厅,ExhibitionHall,常设展览,岭南传统建筑装饰艺术展，展示岭南传统建筑装饰的精湛工艺，位于首进东厅。,,广东民间工艺博物馆官网；《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首进东厅,,,,常设,,,,,,,,,,,,
entity_exhibit_006,端砚精品展,展厅,ExhibitionHall,专题展览,广东民间工艺博物馆藏端砚精品展，专题展览，展期从2023年5月18日至2027年4月21日，位于中东厢。,,广东民间工艺博物馆官网；《广州陈氏书院实录》,,,,閟重湫中出片石——广东民间工艺博物馆藏端砚精品展,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中东厢,,,,专题,2023-05-18至2027-04-21,,,,,,,,,,,
entity_exhibit_007,丙午贺岁工艺精品展,展厅,ExhibitionHall,专题展览,丙午贺岁工艺精品展，专题展览，展期从2026年2月6日至2026年8月10日，位于后东斋后东厢。,,广东民间工艺博物馆官网；《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,后东斋后东厢,,,,专题,2026-02-06至2026-08-10,,,,,,,,,,,
entity_exhibit_008,明清广东陶瓷展,展厅,ExhibitionHall,临时展览,明清广东陶瓷展，临时展览，展期从2026年5月15日至2026年8月31日，位于中进西厅后西厅。,,广东民间工艺博物馆官网；《广州陈氏书院实录》,,,,瓷行万里潮——明清广东陶瓷展,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中进西厅后西厅,,,,临时,2026-05-15至2026-08-31,,,,,,,,,,,
entity_person_001,陈兰彬,历史人物,HistoricalPerson,清代|外交官|倡议人,陈兰彬（1816-1895），首任驻美公使、总理各国事务大臣、著名外交官，陈氏书院的倡议人之一。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首任驻美公使、总理各国事务大臣、著名外交官,1816-1895,,,,,,,,,,陈氏书院倡议人,,,,,,,,,,,,,
entity_person_002,陈瑞南,历史人物,HistoricalPerson,清代|商人|倡建人,陈瑞南，新会籍香港商人，瑞记洋行买办，据记载为陈家祠第一倡建人（待核实）。,,《广州陈氏书院实录》,,待核实,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新会籍香港商人、瑞记洋行买办,,,,,,,,,,,陈家祠第一倡建人,,,,,,,,,,,,,
entity_person_003,陈照南,历史人物,HistoricalPerson,清代|建筑商|筹建人,陈照南，新会籍香港建筑商，怡南号建造行东主，据记载为陈家祠实际主持筹建人（待核实）。,,《广州陈氏书院实录》,,待核实,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新会籍香港建筑商、怡南号建造行东主,,,,,,,,,,,陈家祠实际主持筹建人,,,,,,,,,,,,,
entity_person_004,陈济棠,历史人物,HistoricalPerson,民国|政治人物,陈济棠，1947年任广东陈氏联谊会理事长，与陈家祠的保护和管理有关。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947年广东陈氏联谊会理事长,,,,,,,,,,,广东陈氏联谊会理事长,,,,,,,,,,,,,
entity_person_005,杨铨,历史人物,HistoricalPerson,爱国人士|学者|捐赠者,杨铨，爱国人士、著名学者，曾向广东民间工艺博物馆捐赠藏品。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,陈家祠重要捐赠人，多件展品由其捐赠。,,,,,,,,,,,,,,,,,,,,,爱国人士、著名学者,,,,,,,,,,,捐赠藏品,,,,,,,,,,,,,
entity_person_006,商承祚,历史人物,HistoricalPerson,学者|捐赠者,商承祚，著名学者，曾向广东民间工艺博物馆捐赠藏品。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,著名学者,,,,,,,,,,,捐赠藏品,,,,,,,,,,,,,
entity_person_007,容庚,历史人物,HistoricalPerson,学者|捐赠者,容庚，著名学者，曾向广东民间工艺博物馆捐赠藏品。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,著名学者,,,,,,,,,,,捐赠藏品,,,,,,,,,,,,,
entity_person_008,冼玉清,历史人物,HistoricalPerson,学者|捐赠者,冼玉清，著名学者，曾向广东民间工艺博物馆捐赠藏品。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,著名学者,,,,,,,,,,,捐赠藏品,,,,,,,,,,,,,
entity_person_009,谭畅,历史人物,HistoricalPerson,工艺美术大师|捐赠者,谭畅，国家工艺美术大师，曾向广东民间工艺博物馆捐赠藏品。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国家工艺美术大师,,,,,,,,,,,捐赠藏品,,,,,,,,,,,,,
entity_person_010,李知非,历史人物,HistoricalPerson,爱国人士|捐赠者,李知非，关心藏品建设的爱国人士，曾向广东民间工艺博物馆捐赠藏品。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关心藏品建设的爱国人士,,,,,,,,,,,捐赠藏品,,,,,,,,,,,,,
entity_person_011,邵成村,历史人物,HistoricalPerson,非遗传承人|灰塑,邵成村，灰塑国家级非遗传承人，致力于陈家祠灰塑工艺的传承与保护。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,灰塑国家级非遗传承人,,,,,,,,,,,灰塑工艺传承,,,,,,,,,,,,,
entity_person_012,黄南山,历史人物,HistoricalPerson,砖雕大师,黄南山，广府砖雕大师，番禺人，参与了陈家祠的砖雕装饰工作。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,番禺,,,,,,,,,,,,,,,,,,,,,,广府砖雕大师,,,,,,,,,,,砖雕工艺,,,,,,,,,,,,,
entity_person_013,杨瑞石,历史人物,HistoricalPerson,壁画大师,杨瑞石，壁画大师，参与了陈家祠的壁画装饰创作。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,壁画大师,,,,,,,,,,,壁画创作,,,,,,,,,,,,,
entity_person_014,陈伯陶,历史人物,HistoricalPerson,清代|翰林,陈伯陶，翰林院编修，陈氏书院的倡议人之一。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,翰林院编修,,,,,,,,,,,陈氏书院倡议人,,,,,,,,,,,,,
entity_person_015,郭沫若,历史人物,HistoricalPerson,现代|诗人|学者,郭沫若（1892-1978），诗人、学者，1959年参观陈家祠并赋诗赞颂其建筑艺术。,,《广州陈氏书院实录》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,诗人、学者,1892-1978,,,,,,,,,,1959年参观陈家祠并赋诗,,,,,,,,,,,,,
dynasty_qing,清代,朝代,Dynasty,中国历史,清代（1644-1912），陈家祠建造于清代光绪年间。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644-1912,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynasty_ming,明代,朝代,Dynasty,中国历史,明代（1368-1644），部分馆藏文物创作于明代。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368-1644,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynasty_minguo,民国,朝代,Dynasty,中国历史,民国（1912-1949），陈家祠在民国时期经历多次变迁。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynasty_song,宋代,朝代,Dynasty,中国历史,宋代（960-1279），部分馆藏文物创作于宋代。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960-1279,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynasty_tang,唐代,朝代,Dynasty,中国历史,唐代（618-907），部分馆藏文物创作于唐代。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618-907,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynasty_yuan,元代,朝代,Dynasty,中国历史,元代（1271-1368），部分馆藏文物创作于元代。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271-1368,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynasty_modern,近现代,朝代,Dynasty,中国历史,近现代（1840-至今），陈家祠在近现代经历筹建、落成、被占用、修复等重大历史事件。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-至今,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynasty_contemporary,当代,朝代,Dynasty,中国历史,当代（1949-至今），陈家祠作为博物馆对外开放，被评为国家一级博物馆。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949-至今,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity_route_001,半小时快速路线,游览路线,TourRoute,快速参观,半小时快速路线，适合时间紧张的游客快速游览陈家祠精华。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,约30分钟,,时间紧张的游客,,,,,,,,,,,,,,,,,,,
entity_route_002,精华速览路线,游览路线,TourRoute,推荐路线,精华速览路线，约1小时，适合首次参观的游客，涵盖陈家祠主要看点。,,广东民间工艺博物馆官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,约1小时,,首次参观的游客,,,,,,,,,,,,,,,,,,,
